Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA50_PRt_W,50,,,1,0,PRt,W,YOY,,,-0.0123207604467386,0.0023650962387455
PvsPOA_POA200_PVUSA_W,200,,,1,0,PVUSA,W,YOY,,,-0.0107930532362904,0.0035644888958198
POA800_PI_W,800,,,0,0,PI,W,YOY,,,-0.0064770692602964,0.0024330607964343
CS20_POA200_huld_W,200,,CS20,0,0,huld,W,YOY,,,-0.0099410040359291,0.003339519759394
CS20_POA20_huld_W,20,,CS20,0,0,huld,W,YOY,,,-0.0100224559519168,0.0057195048688878
PvsPOA_CS20_POA50_P_W,50,,CS20,1,0,P,W,YOY,,,-0.0209268092145174,0.0138075657771282
PvsPOA_POA5_PVUSA_W,5,,,1,0,PVUSA,W,YOY,,,-0.0119466914963529,0.0020139704576399
POA50_huld_W,50,,,0,0,huld,W,YOY,,,-0.0075703369317993,0.0050686372097611
PvsPOA_POA5_PR_W,5,,,1,0,PR,W,YOY,,,-0.0118824506223683,0.0034563994471917
PvsPOA_CS20_POA50_PRt_W,50,,CS20,1,0,PRt,W,YOY,,,-0.0089588311483275,0.0022210160677002
CS20_POA100_PRt_W,100,,CS20,0,0,PRt,W,YOY,,,-0.0075065945036649,0.002828416316657
PvsPOA_CS20_POA20_P_W,20,,CS20,1,0,P,W,YOY,,,-0.0224862996780004,0.0131845524449232
POA500_PVUSA_W,500,,,0,0,PVUSA,W,YOY,,,-0.0094401539175336,0.003695052388222
CS20_POA100_P_W,100,,CS20,0,0,P,W,YOY,,,-0.0305213054235412,0.0165481969834659
POA20_PRt_W,20,,,0,0,PRt,W,YOY,,,-0.010362044177608,0.002936476444941
POA100_PR_W,100,,,0,0,PR,W,YOY,,,-0.010091651964059,0.0074827570638887
POA500_PR_W,500,,,0,0,PR,W,YOY,,,-0.0098816010187257,0.0044706487912694
CS20_POA800_PR_W,800,,CS20,0,0,PR,W,YOY,,,-0.0091711104398146,0.0040218716040454
CS20_POA0_PVUSA_W,0,,CS20,0,0,PVUSA,W,YOY,,,-0.0096485629235959,0.004534215297339
PvsPOA_POA200_PR_W,200,,,1,0,PR,W,YOY,,,-0.0094465750728977,0.0038293868433834
POA800_P_W,800,,,0,0,P,W,YOY,,,-0.0115632107155021,0.0095038670253239
PvsPOA_POA50_PR_W,50,,,1,0,PR,W,YOY,,,-0.0116846262605363,0.0042547924177987
PvsPOA_CS20_POA50_PR_W,50,,CS20,1,0,PR,W,YOY,,,-0.0104671576113071,0.0037047134416122
POA800_PR_W,800,,,0,0,PR,W,YOY,,,-0.0078799890861357,0.003880958030166
PvsPOA_POA5_PI_W,5,,,1,0,PI,W,YOY,,,-0.011089247352672,0.0026277039009284
POA500_P_W,500,,,0,0,P,W,YOY,,,-0.0132037719304992,0.0131601725787806
CS20_POA200_P_W,200,,CS20,0,0,P,W,YOY,,,-0.0331810124800854,0.012115224834401
POA20_P_W,20,,,0,0,P,W,YOY,,,-0.0195192567743059,0.0169139389561193
POA200_P_W,200,,,0,0,P,W,YOY,,,-0.0267523511079443,0.0150136288124917
CS20_POA100_PI_W,100,,CS20,0,0,PI,W,YOY,,,-0.0074064948488117,0.0026632841385278
POA5_PVUSA_W,5,,,0,0,PVUSA,W,YOY,,,-0.0118668228789481,0.0067237119951016
CS20_POA800_PVUSA_W,800,,CS20,0,0,PVUSA,W,YOY,,,-0.0072956053073194,0.0028299116542075
PvsPOA_POA0_PI_W,0,,,1,0,PI,W,YOY,,,-0.0110661429214991,0.0027159727969259
PvsPOA_CS20_POA50_huld_W,50,,CS20,1,0,huld,W,YOY,,,-0.0065247734601928,0.0034014531222957
