Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA50_PRt_W,50,,,1,0,PRt,W,YOY,,,-0.0091329353517599,0.0043387365630373
PvsPOA_POA200_PVUSA_W,200,,,1,0,PVUSA,W,YOY,,,-0.0118761467483808,0.0082157070264019
POA800_PI_W,800,,,0,0,PI,W,YOY,,,-0.0028536904532954,0.0065558237046244
CS20_POA200_huld_W,200,,CS20,0,0,huld,W,YOY,,,-0.0088602268310248,0.0091985542819185
CS20_POA20_huld_W,20,,CS20,0,0,huld,W,YOY,,,-0.0069190734480269,0.0111891710854604
PvsPOA_CS20_POA50_P_W,50,,CS20,1,0,P,W,YOY,,,-0.0189446659904284,0.0215877489982589
PvsPOA_POA5_PVUSA_W,5,,,1,0,PVUSA,W,YOY,,,-0.0120066809204389,0.0066514080264818
POA50_huld_W,50,,,0,0,huld,W,YOY,,,-0.0093886673932448,0.0062005197744806
PvsPOA_POA5_PR_W,5,,,1,0,PR,W,YOY,,,-0.0095933233952586,0.0123766157023026
PvsPOA_CS20_POA50_PRt_W,50,,CS20,1,0,PRt,W,YOY,,,-0.0061307666758,0.005046852194074
CS20_POA100_PRt_W,100,,CS20,0,0,PRt,W,YOY,,,-0.0081741600987724,0.0058572518456014
PvsPOA_CS20_POA20_P_W,20,,CS20,1,0,P,W,YOY,,,-0.0134865959699584,0.0231550362543516
POA500_PVUSA_W,500,,,0,0,PVUSA,W,YOY,,,-0.002234708668408,0.008843543555216
CS20_POA100_P_W,100,,CS20,0,0,P,W,YOY,,,-0.0118750765558201,0.0243200972073804
POA20_PRt_W,20,,,0,0,PRt,W,YOY,,,-0.0088221983446907,0.0045029598104985
POA100_PR_W,100,,,0,0,PR,W,YOY,,,-0.0121003300995839,0.0105405171123155
POA500_PR_W,500,,,0,0,PR,W,YOY,,,-0.0027380510160543,0.0173709698202153
CS20_POA800_PR_W,800,,CS20,0,0,PR,W,YOY,,,-0.0047593075792101,0.0128436741240904
CS20_POA0_PVUSA_W,0,,CS20,0,0,PVUSA,W,YOY,,,-0.0126198865975331,0.0100137184893667
PvsPOA_POA200_PR_W,200,,,1,0,PR,W,YOY,,,-0.0104381891113085,0.013213125120276
POA800_P_W,800,,,0,0,P,W,YOY,,,0.0020646799928094,0.0276187672769284
PvsPOA_POA50_PR_W,50,,,1,0,PR,W,YOY,,,-0.0095709519726889,0.0119387163627501
PvsPOA_CS20_POA50_PR_W,50,,CS20,1,0,PR,W,YOY,,,-0.0059781836049576,0.0069269606205973
POA800_PR_W,800,,,0,0,PR,W,YOY,,,-0.0044635532679904,0.0184617452624673
PvsPOA_POA5_PI_W,5,,,1,0,PI,W,YOY,,,-0.0094151143436483,0.0036394463555832
POA500_P_W,500,,,0,0,P,W,YOY,,,0.0043925980352005,0.0164308118862363
CS20_POA200_P_W,200,,CS20,0,0,P,W,YOY,,,-0.0166950625872033,0.0222352002508878
POA20_P_W,20,,,0,0,P,W,YOY,,,0.0086417023062384,0.0279874852645108
POA200_P_W,200,,,0,0,P,W,YOY,,,-0.0114015090176358,0.0221125825717442
CS20_POA100_PI_W,100,,CS20,0,0,PI,W,YOY,,,-0.0080265614864318,0.0056408383855922
POA5_PVUSA_W,5,,,0,0,PVUSA,W,YOY,,,-0.0106648646917625,0.0078706652167029
CS20_POA800_PVUSA_W,800,,CS20,0,0,PVUSA,W,YOY,,,0.001036298242862,0.0111511719194705
PvsPOA_POA0_PI_W,0,,,1,0,PI,W,YOY,,,-0.0094162871574134,0.0036726956258244
PvsPOA_CS20_POA50_huld_W,50,,CS20,1,0,huld,W,YOY,,,-0.0076436377921194,0.0040069475488842
PvsPOA_CS20_POA200_PR_W,200,,CS20,1,0,PR,W,YOY,,,-0.0085524218583685,0.0090868877513068
CS20_POA0_PI_W,0,,CS20,0,0,PI,W,YOY,,,-0.0072674870973006,0.0052281545419898
PvsPOA_POA200_P_W,200,,,1,0,P,W,YOY,,,-0.0095635925663128,0.0242724364015933
PvsPOA_POA20_huld_W,20,,,1,0,huld,W,YOY,,,-0.0120019310246902,0.0062046832633468
CS20_POA200_PRt_W,200,,CS20,0,0,PRt,W,YOY,,,-0.0100640321998904,0.0064380592754426
POA100_PRt_W,100,,,0,0,PRt,W,YOY,,,-0.007037938123122,0.0050024611930641
CS20_POA5_PRt_W,5,,CS20,0,0,PRt,W,YOY,,,-0.0068575593660462,0.0053607264779648
PvsPOA_CS20_POA0_PI_W,0,,CS20,1,0,PI,W,YOY,,,-0.0059293945523285,0.0048594072340633
PvsPOA_POA100_PRt_W,100,,,1,0,PRt,W,YOY,,,-0.0087188148112952,0.0047471982770852
POA5_P_W,5,,,0,0,P,W,YOY,,,0.009056497214618,0.0286876627055782
PvsPOA_CS20_POA20_PVUSA_W,20,,CS20,1,0,PVUSA,W,YOY,,,-0.008743033415545,0.0054223871616661
PvsPOA_POA0_huld_W,0,,,1,0,huld,W,YOY,,,-0.0125358544912621,0.0064699883971895
PvsPOA_CS20_POA0_huld_W,0,,CS20,1,0,huld,W,YOY,,,-0.007117836060871,0.0042489430091451
CS20_POA5_PR_W,5,,CS20,0,0,PR,W,YOY,,,-0.0109029458860824,0.0142264362133416
CS20_POA0_P_W,0,,CS20,0,0,P,W,YOY,,,-0.0088089162288007,0.0244772096849837
CS20_POA800_P_W,800,,CS20,0,0,P,W,YOY,,,-0.0006619360890349,0.0192800907272534
CS20_POA500_PR_W,500,,CS20,0,0,PR,W,YOY,,,-0.0064891199217331,0.0072108988331334
PvsPOA_CS20_POA500_huld_W,500,,CS20,1,0,huld,W,YOY,,,-0.0053755039314054,0.0041017842019664
PvsPOA_POA100_PI_W,100,,,1,0,PI,W,YOY,,,-0.0083195890056476,0.0045053435544761
PvsPOA_CS20_POA0_P_W,0,,CS20,1,0,P,W,YOY,,,-0.0135959315332119,0.0225117790570477
PvsPOA_POA20_PRt_W,20,,,1,0,PRt,W,YOY,,,-0.0093955283537707,0.0039372530908918
POA800_PVUSA_W,800,,,0,0,PVUSA,W,YOY,,,-0.0056152563853405,0.0147041525802201
CS20_POA800_huld_W,800,,CS20,0,0,huld,W,YOY,,,-0.000437342253014,0.0077391048326003
CS20_POA20_PRt_W,20,,CS20,0,0,PRt,W,YOY,,,-0.0076071926043682,0.0055921372939955
PvsPOA_CS20_POA100_PRt_W,100,,CS20,1,0,PRt,W,YOY,,,-0.0069234714996461,0.0047720619289058
PvsPOA_POA500_PI_W,500,,,1,0,PI,W,YOY,,,-0.005287279015924,0.0046822537148416
PvsPOA_POA100_P_W,100,,,1,0,P,W,YOY,,,0.0029777741496453,0.0267040018604772
CS20_POA100_PR_W,100,,CS20,0,0,PR,W,YOY,,,-0.0138748852872462,0.0148476463443828
PvsPOA_CS20_POA800_P_W,800,,CS20,1,0,P,W,YOY,,,-0.0091949771999348,0.0208415163334489
PvsPOA_POA800_PVUSA_W,800,,,1,0,PVUSA,W,YOY,,,-0.0044002213246738,0.0092894180283713
PvsPOA_POA0_PVUSA_W,0,,,1,0,PVUSA,W,YOY,,,-0.0119860393981727,0.0066421721180815
POA100_huld_W,100,,,0,0,huld,W,YOY,,,-0.0085935876215243,0.0069421778791998
POA0_PVUSA_W,0,,,0,0,PVUSA,W,YOY,,,-0.0098728049154872,0.0078483524348215
PvsPOA_CS20_POA5_PRt_W,5,,CS20,1,0,PRt,W,YOY,,,-0.0061162824258007,0.0044909971100943
PvsPOA_POA0_P_W,0,,,1,0,P,W,YOY,,,0.0167026272359884,0.0349830267564305
POA100_P_W,100,,,0,0,P,W,YOY,,,-0.0012571537350065,0.0140877509856159
POA50_PVUSA_W,50,,,0,0,PVUSA,W,YOY,,,-0.010983459551058,0.0079624378938237
PvsPOA_POA200_PRt_W,200,,,1,0,PRt,W,YOY,,,-0.0066042902334681,0.0061524637304547
POA0_PRt_W,0,,,0,0,PRt,W,YOY,,,-0.0086921039777945,0.0040993652735758
