Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA50_PRt_W,50,,,1,0,PRt,W,YOY,,,-0.0539939696255398,0.0047064406531197
PvsPOA_POA200_PVUSA_W,200,,,1,0,PVUSA,W,YOY,,,-0.0467496186253838,0.0008608441307859
POA800_PI_W,800,,,0,0,PI,W,YOY,,,-0.0467289442643322,0.0004941205130111
PvsPOA_POA5_PVUSA_W,5,,,1,0,PVUSA,W,YOY,,,-0.0482874096885845,0.0014334411312627
POA50_huld_W,50,,,0,0,huld,W,YOY,,,-0.0481373810061226,0.0011684743541912
PvsPOA_POA5_PR_W,5,,,1,0,PR,W,YOY,,,-0.0510931625520444,0.0029580098920755
POA500_PVUSA_W,500,,,0,0,PVUSA,W,YOY,,,-0.0461348296497067,0.0008238137089659
POA20_PRt_W,20,,,0,0,PRt,W,YOY,,,-0.0557631896833846,0.0057349138825408
POA100_PR_W,100,,,0,0,PR,W,YOY,,,-0.0490731644180585,0.002364479338705
POA500_PR_W,500,,,0,0,PR,W,YOY,,,-0.0425902627549081,0.0025096173877664
PvsPOA_POA200_PR_W,200,,,1,0,PR,W,YOY,,,-0.043456005728791,0.0025028572892242
POA800_P_W,800,,,0,0,P,W,YOY,,,-0.0486562596177155,0.0062477712682636
PvsPOA_POA50_PR_W,50,,,1,0,PR,W,YOY,,,-0.0490155816078186,0.0017964269915681
POA800_PR_W,800,,,0,0,PR,W,YOY,,,-0.0451321020280575,0.0039015854786669
PvsPOA_POA5_PI_W,5,,,1,0,PI,W,YOY,,,-0.0557075678177599,0.0048842861324629
POA500_P_W,500,,,0,0,P,W,YOY,,,-0.0639481396687962,0.015788551434031
POA20_P_W,20,,,0,0,P,W,YOY,,,-0.1274601052070885,0.0370219494133304
POA200_P_W,200,,,0,0,P,W,YOY,,,-0.0977930773300623,0.0348457653246157
POA5_PVUSA_W,5,,,0,0,PVUSA,W,YOY,,,-0.0497601705741368,0.0018839353178389
PvsPOA_POA0_PI_W,0,,,1,0,PI,W,YOY,,,-0.0557075678177599,0.0049272245449839
PvsPOA_POA200_P_W,200,,,1,0,P,W,YOY,,,-0.0938019357922906,0.0383725289064597
PvsPOA_POA20_huld_W,20,,,1,0,huld,W,YOY,,,-0.048796793199935,0.0007726215609321
POA100_PRt_W,100,,,0,0,PRt,W,YOY,,,-0.0554630103458291,0.0043669720544326
PvsPOA_POA100_PRt_W,100,,,1,0,PRt,W,YOY,,,-0.0549623338038709,0.0042742482253483
POA5_P_W,5,,,0,0,P,W,YOY,,,-0.1279977230370205,0.036831831610749
PvsPOA_POA0_huld_W,0,,,1,0,huld,W,YOY,,,-0.0488068793983151,0.0006385384544208
PvsPOA_POA100_PI_W,100,,,1,0,PI,W,YOY,,,-0.0550962104951596,0.004133403847481
PvsPOA_POA20_PRt_W,20,,,1,0,PRt,W,YOY,,,-0.054997166372695,0.0049262716924405
POA800_PVUSA_W,800,,,0,0,PVUSA,W,YOY,,,-0.0468269352000357,0.0009158490963701
PvsPOA_POA500_PI_W,500,,,1,0,PI,W,YOY,,,-0.0468433545927474,0.0010496683197844
PvsPOA_POA100_P_W,100,,,1,0,P,W,YOY,,,-0.1126443054476838,0.0364064848969246
PvsPOA_POA800_PVUSA_W,800,,,1,0,PVUSA,W,YOY,,,-0.0468300150089829,0.0004127413114768
PvsPOA_POA0_PVUSA_W,0,,,1,0,PVUSA,W,YOY,,,-0.0482874096885845,0.0014229444480649
POA100_huld_W,100,,,0,0,huld,W,YOY,,,-0.0471298729955668,0.0011316480019664
POA0_PVUSA_W,0,,,0,0,PVUSA,W,YOY,,,-0.0498042097310171,0.0019118905067443
PvsPOA_POA0_P_W,0,,,1,0,P,W,YOY,,,-0.119553820463525,0.0403690754563982
POA100_P_W,100,,,0,0,P,W,YOY,,,-0.1202158691426814,0.033585900630591
POA50_PVUSA_W,50,,,0,0,PVUSA,W,YOY,,,-0.0484931517161449,0.0014396288966875
PvsPOA_POA200_PRt_W,200,,,1,0,PRt,W,YOY,,,-0.04924990979809,0.0025376576056698
POA0_PRt_W,0,,,0,0,PRt,W,YOY,,,-0.0556697750669926,0.0053405388346258
PvsPOA_POA50_P_W,50,,,1,0,P,W,YOY,,,-0.1168414493776717,0.0405461093486158
POA200_PI_W,200,,,0,0,PI,W,YOY,,,-0.0500808460050516,0.0026341983571528
POA100_PVUSA_W,100,,,0,0,PVUSA,W,YOY,,,-0.0480527601473415,0.0012425070503008
PvsPOA_POA800_PI_W,800,,,1,0,PI,W,YOY,,,-0.0471676680919616,0.0005329394758229
PvsPOA_POA500_PRt_W,500,,,1,0,PRt,W,YOY,,,-0.0468370776934765,0.0010260642699475
POA0_PR_W,0,,,0,0,PR,W,YOY,,,-0.0515855660657034,0.0026616421992566
PvsPOA_POA100_PVUSA_W,100,,,1,0,PVUSA,W,YOY,,,-0.0477017979737562,0.0011608229171876
POA50_PRt_W,50,,,0,0,PRt,W,YOY,,,-0.0550629025842301,0.0053549808633295
POA500_PRt_W,500,,,0,0,PRt,W,YOY,,,-0.0467954428048146,0.0012435180157664
POA20_huld_W,20,,,0,0,huld,W,YOY,,,-0.0494095883922114,0.0010372364938741
PvsPOA_POA500_PVUSA_W,500,,,1,0,PVUSA,W,YOY,,,-0.0463100761737463,0.0005495242352755
POA20_PI_W,20,,,0,0,PI,W,YOY,,,-0.0563147358495912,0.0057224161738173
PvsPOA_POA5_P_W,5,,,1,0,P,W,YOY,,,-0.119553820463525,0.0403690754563982
POA0_PI_W,0,,,0,0,PI,W,YOY,,,-0.0562537495338049,0.0053952353501898
PvsPOA_POA20_PVUSA_W,20,,,1,0,PVUSA,W,YOY,,,-0.0481783989947439,0.0014498194754926
PvsPOA_POA20_P_W,20,,,1,0,P,W,YOY,,,-0.120312396406806,0.0403832618117011
POA800_PRt_W,800,,,0,0,PRt,W,YOY,,,-0.0467147860565596,0.0004983578891445
POA5_huld_W,5,,,0,0,huld,W,YOY,,,-0.0495804673577897,0.0008536020057863
POA5_PI_W,5,,,0,0,PI,W,YOY,,,-0.0562565924343715,0.0053867641163643
PvsPOA_POA5_PRt_W,5,,,1,0,PRt,W,YOY,,,-0.0550221449602646,0.0051449299179961
POA200_PVUSA_W,200,,,0,0,PVUSA,W,YOY,,,-0.0471060085810741,0.0008502899797136
