Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA50_PRt_W,50,,,1,0,PRt,W,YOY,,,-0.0319778814791347,0.0063867039596938
PvsPOA_POA200_PVUSA_W,200,,,1,0,PVUSA,W,YOY,,,-0.0313372319599367,0.007889459557289
POA800_PI_W,800,,,0,0,PI,W,YOY,,,-0.0291070386245244,0.0133597409146815
CS20_POA200_huld_W,200,,CS20,0,0,huld,W,YOY,,,-0.0336334253899813,0.0101438703241373
CS20_POA20_huld_W,20,,CS20,0,0,huld,W,YOY,,,-0.0326164199335555,0.0134145852047799
PvsPOA_CS20_POA50_P_W,50,,CS20,1,0,P,W,YOY,,,-0.0452218809217776,0.017319765357637
PvsPOA_POA5_PVUSA_W,5,,,1,0,PVUSA,W,YOY,,,-0.0270434434844477,0.013615276363259
POA50_huld_W,50,,,0,0,huld,W,YOY,,,-0.0250474903782744,0.0092389577161269
PvsPOA_POA5_PR_W,5,,,1,0,PR,W,YOY,,,-0.0211413461725024,0.0140508150486049
PvsPOA_CS20_POA50_PRt_W,50,,CS20,1,0,PRt,W,YOY,,,-0.0376803952086004,0.009509673626275
CS20_POA100_PRt_W,100,,CS20,0,0,PRt,W,YOY,,,-0.0361233090133358,0.0116864429490585
PvsPOA_CS20_POA20_P_W,20,,CS20,1,0,P,W,YOY,,,-0.0433946957164054,0.0172544044465067
POA500_PVUSA_W,500,,,0,0,PVUSA,W,YOY,,,-0.0269610533174478,0.0105720170575251
CS20_POA100_P_W,100,,CS20,0,0,P,W,YOY,,,-0.0371594020137889,0.0168884302567278
POA20_PRt_W,20,,,0,0,PRt,W,YOY,,,-0.0307899384164424,0.0080768318028462
POA100_PR_W,100,,,0,0,PR,W,YOY,,,-0.0226197072437831,0.0132766183254853
POA500_PR_W,500,,,0,0,PR,W,YOY,,,-0.0282738424054374,0.0117100469988954
CS20_POA800_PR_W,800,,CS20,0,0,PR,W,YOY,,,-0.0209427008410348,0.0208257126679638
CS20_POA0_PVUSA_W,0,,CS20,0,0,PVUSA,W,YOY,,,-0.0354068370842226,0.0150028975665408
PvsPOA_POA200_PR_W,200,,,1,0,PR,W,YOY,,,-0.0254115024506242,0.0080672581240815
POA800_P_W,800,,,0,0,P,W,YOY,,,-0.0187788594443843,0.0173633905112582
PvsPOA_POA50_PR_W,50,,,1,0,PR,W,YOY,,,-0.0211789934943628,0.0111392531995824
PvsPOA_CS20_POA50_PR_W,50,,CS20,1,0,PR,W,YOY,,,-0.0263128098291206,0.0201119100629801
POA800_PR_W,800,,,0,0,PR,W,YOY,,,-0.0194389776720833,0.0154743393797758
PvsPOA_POA5_PI_W,5,,,1,0,PI,W,YOY,,,-0.0326056886876047,0.0062549676535264
POA500_P_W,500,,,0,0,P,W,YOY,,,-0.0193640935131803,0.0172317421661233
CS20_POA200_P_W,200,,CS20,0,0,P,W,YOY,,,-0.0409663285206591,0.0154776232583182
POA20_P_W,20,,,0,0,P,W,YOY,,,-0.031363620269652,0.0393581193733729
POA200_P_W,200,,,0,0,P,W,YOY,,,-0.0381866402703154,0.0209363676467031
CS20_POA100_PI_W,100,,CS20,0,0,PI,W,YOY,,,-0.0368545583958895,0.0110462344078362
POA5_PVUSA_W,5,,,0,0,PVUSA,W,YOY,,,-0.0304096535531015,0.0105379967355342
CS20_POA800_PVUSA_W,800,,CS20,0,0,PVUSA,W,YOY,,,-0.0245584856789067,0.0099485686847141
PvsPOA_POA0_PI_W,0,,,1,0,PI,W,YOY,,,-0.0326270925388181,0.0062520356191136
PvsPOA_CS20_POA50_huld_W,50,,CS20,1,0,huld,W,YOY,,,-0.0356790764794516,0.0089337610812842
PvsPOA_CS20_POA200_PR_W,200,,CS20,1,0,PR,W,YOY,,,-0.0248064771495418,0.0079806311673552
CS20_POA0_PI_W,0,,CS20,0,0,PI,W,YOY,,,-0.0337762154658849,0.0101875893028598
PvsPOA_POA200_P_W,200,,,1,0,P,W,YOY,,,-0.0316526015813781,0.023351395258685
PvsPOA_POA20_huld_W,20,,,1,0,huld,W,YOY,,,-0.024021864740675,0.0158363283483808
CS20_POA200_PRt_W,200,,CS20,0,0,PRt,W,YOY,,,-0.0360174039303453,0.0120883369060218
POA100_PRt_W,100,,,0,0,PRt,W,YOY,,,-0.0293758182191463,0.0081182462025202
CS20_POA5_PRt_W,5,,CS20,0,0,PRt,W,YOY,,,-0.0338953147037331,0.0115035438152015
PvsPOA_CS20_POA0_PI_W,0,,CS20,1,0,PI,W,YOY,,,-0.0384782017723248,0.0089920804185687
PvsPOA_POA100_PRt_W,100,,,1,0,PRt,W,YOY,,,-0.0324197390651445,0.0088800473836554
POA5_P_W,5,,,0,0,P,W,YOY,,,-0.0303632687686909,0.0391638064159537
PvsPOA_CS20_POA20_PVUSA_W,20,,CS20,1,0,PVUSA,W,YOY,,,-0.0337188062320822,0.0098109683097212
PvsPOA_POA0_huld_W,0,,,1,0,huld,W,YOY,,,-0.024039281025087,0.015051012251255
PvsPOA_CS20_POA0_huld_W,0,,CS20,1,0,huld,W,YOY,,,-0.0384572670466173,0.0102616806396576
CS20_POA5_PR_W,5,,CS20,0,0,PR,W,YOY,,,-0.0170022225122888,0.0248213718843588
CS20_POA0_P_W,0,,CS20,0,0,P,W,YOY,,,-0.0379353649211379,0.0186499085709091
CS20_POA800_P_W,800,,CS20,0,0,P,W,YOY,,,-0.0157609164232835,0.0192869528605931
CS20_POA500_PR_W,500,,CS20,0,0,PR,W,YOY,,,-0.0208486998177602,0.0121749796957339
PvsPOA_CS20_POA500_huld_W,500,,CS20,1,0,huld,W,YOY,,,-0.0274686471149927,0.0035882970152518
PvsPOA_POA100_PI_W,100,,,1,0,PI,W,YOY,,,-0.0319079231380452,0.0090802173730176
PvsPOA_CS20_POA0_P_W,0,,CS20,1,0,P,W,YOY,,,-0.0451026339093951,0.0185505419246591
PvsPOA_POA20_PRt_W,20,,,1,0,PRt,W,YOY,,,-0.0324780865499594,0.0059897944612323
POA800_PVUSA_W,800,,,0,0,PVUSA,W,YOY,,,-0.0193739744691514,0.0113559452028608
CS20_POA800_huld_W,800,,CS20,0,0,huld,W,YOY,,,-0.0288566135653267,0.0122753432336843
CS20_POA20_PRt_W,20,,CS20,0,0,PRt,W,YOY,,,-0.0337730488687191,0.0114319435348407
PvsPOA_CS20_POA100_PRt_W,100,,CS20,1,0,PRt,W,YOY,,,-0.0389468593256814,0.0098651675522488
PvsPOA_POA500_PI_W,500,,,1,0,PI,W,YOY,,,-0.0316329276304682,0.0067805934627101
PvsPOA_POA100_P_W,100,,,1,0,P,W,YOY,,,-0.029930090004543,0.0399135498987696
CS20_POA100_PR_W,100,,CS20,0,0,PR,W,YOY,,,-0.0207455215267736,0.0198224877732783
PvsPOA_CS20_POA800_P_W,800,,CS20,1,0,P,W,YOY,,,-0.0287999666604712,0.0145239192520511
PvsPOA_POA800_PVUSA_W,800,,,1,0,PVUSA,W,YOY,,,-0.0281516352111117,0.0104059367327677
PvsPOA_POA0_PVUSA_W,0,,,1,0,PVUSA,W,YOY,,,-0.0270813253690611,0.0113472370606548
POA100_huld_W,100,,,0,0,huld,W,YOY,,,-0.0309185960864763,0.0062150626651681
POA0_PVUSA_W,0,,,0,0,PVUSA,W,YOY,,,-0.0304122337433848,0.0106316740622096
PvsPOA_CS20_POA5_PRt_W,5,,CS20,1,0,PRt,W,YOY,,,-0.0383705961093748,0.0094732272657101
PvsPOA_POA0_P_W,0,,,1,0,P,W,YOY,,,-0.0326006221321393,0.0434759283162191
POA100_P_W,100,,,0,0,P,W,YOY,,,-0.0230870735291843,0.035897131878732
POA50_PVUSA_W,50,,,0,0,PVUSA,W,YOY,,,-0.0295866021730829,0.0107238572241482
PvsPOA_POA200_PRt_W,200,,,1,0,PRt,W,YOY,,,-0.0368500430628938,0.0084038849950158
POA0_PRt_W,0,,,0,0,PRt,W,YOY,,,-0.0321990155145485,0.0086673869276946
CS20_POA50_PI_W,50,,CS20,0,0,PI,W,YOY,,,-0.0346573504476213,0.0116296004042068
CS20_POA200_PR_W,200,,CS20,0,0,PR,W,YOY,,,-0.0218044257549584,0.014125485095695
PvsPOA_POA50_P_W,50,,,1,0,P,W,YOY,,,-0.0280141521174952,0.0410253216394517
POA200_PI_W,200,,,0,0,PI,W,YOY,,,-0.0321975494973421,0.0097190636910518
POA100_PVUSA_W,100,,,0,0,PVUSA,W,YOY,,,-0.032354354697739,0.0091241392485215
PvsPOA_CS20_POA200_huld_W,200,,CS20,1,0,huld,W,YOY,,,-0.0345202485184785,0.0075650006291679
PvsPOA_POA800_PI_W,800,,,1,0,PI,W,YOY,,,-0.0305337372494515,0.0059686838134601
PvsPOA_CS20_POA500_P_W,500,,CS20,1,0,P,W,YOY,,,-0.021988440234706,0.014260858297348
PvsPOA_CS20_POA500_PRt_W,500,,CS20,1,0,PRt,W,YOY,,,-0.0319288871840968,0.0075359148477929
PvsPOA_POA500_PRt_W,500,,,1,0,PRt,W,YOY,,,-0.0315067915100293,0.0066470539553788
CS20_POA0_PR_W,0,,CS20,0,0,PR,W,YOY,,,-0.0170022225122888,0.0248213718843588
POA0_PR_W,0,,,0,0,PR,W,YOY,,,-0.0218781957407845,0.014697965987609
CS20_POA20_P_W,20,,CS20,0,0,P,W,YOY,,,-0.0401097053466138,0.0167325926276872
CS20_POA5_PI_W,5,,CS20,0,0,PI,W,YOY,,,-0.0337762154658849,0.0107724105412105
PvsPOA_POA100_PVUSA_W,100,,,1,0,PVUSA,W,YOY,,,-0.0295693911310797,0.0086378613411576
CS20_POA20_PI_W,20,,CS20,0,0,PI,W,YOY,,,-0.0337713482887597,0.0126339896830587
POA50_PRt_W,50,,,0,0,PRt,W,YOY,,,-0.0289165736690685,0.0071489449459908
POA500_PRt_W,500,,,0,0,PRt,W,YOY,,,-0.0343797161090727,0.0087188441316393
