time,PR
2015-12-23 00:00:00+00:00,0.2723847261649013
2015-12-24 00:00:00+00:00,0.3615756894930605
2015-12-25 00:00:00+00:00,0.46240399213422234
2015-12-26 00:00:00+00:00,0.3362614209848839
2015-12-27 00:00:00+00:00,
2015-12-28 00:00:00+00:00,
2015-12-29 00:00:00+00:00,
2015-12-30 00:00:00+00:00,
2015-12-31 00:00:00+00:00,
2016-01-01 00:00:00+00:00,
2016-01-02 00:00:00+00:00,
2016-01-03 00:00:00+00:00,
2016-01-04 00:00:00+00:00,
2016-01-05 00:00:00+00:00,
2016-01-06 00:00:00+00:00,
2016-01-07 00:00:00+00:00,
2016-01-08 00:00:00+00:00,
2016-01-09 00:00:00+00:00,
2016-01-10 00:00:00+00:00,
2016-01-11 00:00:00+00:00,
2016-01-12 00:00:00+00:00,
2016-01-13 00:00:00+00:00,
2016-01-14 00:00:00+00:00,
2016-01-15 00:00:00+00:00,
2016-01-16 00:00:00+00:00,
2016-01-17 00:00:00+00:00,
2016-01-18 00:00:00+00:00,
2016-01-19 00:00:00+00:00,
2016-01-20 00:00:00+00:00,
2016-01-21 00:00:00+00:00,
2016-01-22 00:00:00+00:00,
2016-01-23 00:00:00+00:00,
2016-01-24 00:00:00+00:00,
2016-01-25 00:00:00+00:00,
2016-01-26 00:00:00+00:00,
2016-01-27 00:00:00+00:00,
2016-01-28 00:00:00+00:00,
2016-01-29 00:00:00+00:00,
2016-01-30 00:00:00+00:00,
2016-01-31 00:00:00+00:00,
2016-02-01 00:00:00+00:00,
2016-02-02 00:00:00+00:00,
2016-02-03 00:00:00+00:00,
2016-02-04 00:00:00+00:00,
2016-02-05 00:00:00+00:00,
2016-02-06 00:00:00+00:00,
2016-02-07 00:00:00+00:00,
2016-02-08 00:00:00+00:00,
2016-02-09 00:00:00+00:00,
2016-02-10 00:00:00+00:00,
2016-02-11 00:00:00+00:00,
2016-02-12 00:00:00+00:00,
2016-02-13 00:00:00+00:00,
2016-02-14 00:00:00+00:00,
2016-02-15 00:00:00+00:00,
2016-02-16 00:00:00+00:00,
2016-02-17 00:00:00+00:00,
2016-02-18 00:00:00+00:00,
2016-02-19 00:00:00+00:00,
2016-02-20 00:00:00+00:00,
2016-02-21 00:00:00+00:00,
2016-02-22 00:00:00+00:00,
2016-02-23 00:00:00+00:00,
2016-02-24 00:00:00+00:00,
2016-02-25 00:00:00+00:00,
2016-02-26 00:00:00+00:00,
2016-02-27 00:00:00+00:00,
2016-02-28 00:00:00+00:00,
2016-02-29 00:00:00+00:00,
2016-03-01 00:00:00+00:00,
2016-03-02 00:00:00+00:00,
2016-03-03 00:00:00+00:00,
2016-03-04 00:00:00+00:00,
2016-03-05 00:00:00+00:00,
2016-03-06 00:00:00+00:00,
2016-03-07 00:00:00+00:00,
2016-03-08 00:00:00+00:00,
2016-03-09 00:00:00+00:00,
2016-03-10 00:00:00+00:00,
2016-03-11 00:00:00+00:00,
2016-03-12 00:00:00+00:00,
2016-03-13 00:00:00+00:00,
2016-03-14 00:00:00+00:00,
2016-03-15 00:00:00+00:00,0.958652698313393
2016-03-16 00:00:00+00:00,0.9111790952796396
2016-03-17 00:00:00+00:00,0.822820594816663
2016-03-18 00:00:00+00:00,
2016-03-19 00:00:00+00:00,
2016-03-20 00:00:00+00:00,
2016-03-21 00:00:00+00:00,
2016-03-22 00:00:00+00:00,0.8895002186470256
2016-03-23 00:00:00+00:00,0.9352347931278961
2016-03-24 00:00:00+00:00,
2016-03-25 00:00:00+00:00,
2016-03-26 00:00:00+00:00,
2016-03-27 00:00:00+00:00,0.9673431676088085
2016-03-28 00:00:00+00:00,0.8914715558885024
2016-03-29 00:00:00+00:00,0.892727512263411
2016-03-30 00:00:00+00:00,0.8962038309712272
2016-03-31 00:00:00+00:00,0.9140072841862996
2016-04-01 00:00:00+00:00,0.9347410294168178
2016-04-02 00:00:00+00:00,0.8744980980260191
2016-04-03 00:00:00+00:00,
2016-04-04 00:00:00+00:00,0.9144964043112451
2016-04-05 00:00:00+00:00,
2016-04-06 00:00:00+00:00,0.9575620439315006
2016-04-07 00:00:00+00:00,0.9582093237176424
2016-04-08 00:00:00+00:00,0.9494228566227344
2016-04-09 00:00:00+00:00,1.0472273687638087
2016-04-10 00:00:00+00:00,0.9346767735160294
2016-04-11 00:00:00+00:00,0.8917234123552614
2016-04-12 00:00:00+00:00,0.921405636411524
2016-04-13 00:00:00+00:00,0.8861331906738833
2016-04-14 00:00:00+00:00,0.918743031423095
2016-04-15 00:00:00+00:00,0.8819395230261498
2016-04-16 00:00:00+00:00,0.908914775696139
2016-04-17 00:00:00+00:00,0.9025660226903001
2016-04-18 00:00:00+00:00,0.9005407472864431
2016-04-19 00:00:00+00:00,0.9770754151536768
2016-04-20 00:00:00+00:00,0.9637725795386383
2016-04-21 00:00:00+00:00,0.9153160989449552
2016-04-22 00:00:00+00:00,0.8356553558960897
2016-04-23 00:00:00+00:00,0.9615575942874026
2016-04-24 00:00:00+00:00,0.9214815780606871
2016-04-25 00:00:00+00:00,0.9784514462270831
2016-04-26 00:00:00+00:00,
2016-04-27 00:00:00+00:00,0.9743636848910929
2016-04-28 00:00:00+00:00,
2016-04-29 00:00:00+00:00,0.917120819572207
2016-04-30 00:00:00+00:00,0.928386587236377
2016-05-01 00:00:00+00:00,0.9085526060528663
2016-05-02 00:00:00+00:00,0.9019182895551856
2016-05-03 00:00:00+00:00,0.8960109420536426
2016-05-04 00:00:00+00:00,0.8931750509743175
2016-05-05 00:00:00+00:00,0.8825651535256268
2016-05-06 00:00:00+00:00,0.8882772491931348
2016-05-07 00:00:00+00:00,0.8907115586650259
2016-05-08 00:00:00+00:00,0.8899140706703671
2016-05-09 00:00:00+00:00,0.8880517084846906
2016-05-10 00:00:00+00:00,0.8947791805057971
