time,P
2015-12-31 00:00:00+00:00,859.1815462643634
2016-01-31 00:00:00+00:00,
2016-02-29 00:00:00+00:00,1317.4983468478451
2016-03-31 00:00:00+00:00,8930.519630082583
2016-04-30 00:00:00+00:00,10835.049043399224
2016-05-31 00:00:00+00:00,12261.566000087943
2016-06-30 00:00:00+00:00,10977.868619428866
2016-07-31 00:00:00+00:00,11047.101849793231
2016-08-31 00:00:00+00:00,9413.15223986467
2016-09-30 00:00:00+00:00,8948.557804164862
2016-10-31 00:00:00+00:00,6930.423808327555
2016-11-30 00:00:00+00:00,1490.809679582313
2016-12-31 00:00:00+00:00,976.1320021696448
2017-01-31 00:00:00+00:00,1781.34613745032
2017-02-28 00:00:00+00:00,4074.318659865404
2017-03-31 00:00:00+00:00,8264.36929057139
2017-04-30 00:00:00+00:00,10627.432145058763
2017-05-31 00:00:00+00:00,12057.107705042019
2017-06-30 00:00:00+00:00,11636.246574415842
2017-07-31 00:00:00+00:00,10833.753380781769
2017-08-31 00:00:00+00:00,9932.04596964215
2017-09-30 00:00:00+00:00,7515.4159214579895
2017-10-31 00:00:00+00:00,4873.5376594224
2017-11-30 00:00:00+00:00,1962.6301405592399
2017-12-31 00:00:00+00:00,
2018-01-31 00:00:00+00:00,
2018-02-28 00:00:00+00:00,
2018-03-31 00:00:00+00:00,
2018-04-30 00:00:00+00:00,
2018-05-31 00:00:00+00:00,
2018-06-30 00:00:00+00:00,11680.308449373997
2018-07-31 00:00:00+00:00,10861.260364884152
2018-08-31 00:00:00+00:00,10398.802765489014
2018-09-30 00:00:00+00:00,7779.562602767914
2018-10-31 00:00:00+00:00,5586.9016290247855
2018-11-30 00:00:00+00:00,1786.1067304132323
2018-12-31 00:00:00+00:00,1363.4681251806626
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,
2019-03-31 00:00:00+00:00,8037.75866438121
2019-04-30 00:00:00+00:00,10628.378551182173
2019-05-31 00:00:00+00:00,12003.32278825216
2019-06-30 00:00:00+00:00,11970.318344020498
2019-07-31 00:00:00+00:00,11416.090222320878
2019-08-31 00:00:00+00:00,10090.791899779471
2019-09-30 00:00:00+00:00,8178.938137556523
2019-10-31 00:00:00+00:00,5034.96798526778
2019-11-30 00:00:00+00:00,2620.7229400267183
2019-12-31 00:00:00+00:00,912.8873203520947
2020-01-31 00:00:00+00:00,1516.815241136199
2020-02-29 00:00:00+00:00,4603.621611405779
2020-03-31 00:00:00+00:00,8617.798802419757
2020-04-30 00:00:00+00:00,10932.104697521727
2020-05-31 00:00:00+00:00,12013.453436124191
2020-06-30 00:00:00+00:00,12048.636569908671
2020-07-31 00:00:00+00:00,11316.325988107516
2020-08-31 00:00:00+00:00,10530.219985960564
2020-09-30 00:00:00+00:00,8040.408627830186
2020-10-31 00:00:00+00:00,5144.847849610655
2020-11-30 00:00:00+00:00,2747.7899973326757
2020-12-31 00:00:00+00:00,1007.3102838731611
2021-01-31 00:00:00+00:00,
2021-02-28 00:00:00+00:00,
2021-03-31 00:00:00+00:00,7833.420001054628
2021-04-30 00:00:00+00:00,10475.93102204237
2021-05-31 00:00:00+00:00,10257.93931262909
2021-06-30 00:00:00+00:00,11551.075633655048
2021-07-31 00:00:00+00:00,11201.957207825384
2021-08-31 00:00:00+00:00,9881.088525466976
2021-09-30 00:00:00+00:00,8380.90602041713
2021-10-31 00:00:00+00:00,5015.812567906968
2021-11-30 00:00:00+00:00,2249.9995171852156
2021-12-31 00:00:00+00:00,836.5316744658384
