time,P
2016-04-30 00:00:00+00:00,16380.651557446557
2016-05-31 00:00:00+00:00,16207.294658163748
2016-06-30 00:00:00+00:00,16616.067765750555
2016-07-31 00:00:00+00:00,16610.52919399617
2016-08-31 00:00:00+00:00,16762.882031141522
2016-09-30 00:00:00+00:00,16306.680707434234
2016-10-31 00:00:00+00:00,
2016-11-30 00:00:00+00:00,
2016-12-31 00:00:00+00:00,
2017-01-31 00:00:00+00:00,
2017-02-28 00:00:00+00:00,
2017-03-31 00:00:00+00:00,16344.900734183664
2017-04-30 00:00:00+00:00,17063.023644600522
2017-05-31 00:00:00+00:00,16878.8933235348
2017-06-30 00:00:00+00:00,17087.98890289622
2017-07-31 00:00:00+00:00,16706.72694692796
2017-08-31 00:00:00+00:00,16187.148465607548
2017-09-30 00:00:00+00:00,16426.329714087773
2017-10-31 00:00:00+00:00,
2017-11-30 00:00:00+00:00,
2017-12-31 00:00:00+00:00,
2018-01-31 00:00:00+00:00,
2018-02-28 00:00:00+00:00,
2018-03-31 00:00:00+00:00,
2018-04-30 00:00:00+00:00,
2018-05-31 00:00:00+00:00,
2018-06-30 00:00:00+00:00,16630.83428303365
2018-07-31 00:00:00+00:00,16089.630612000965
2018-08-31 00:00:00+00:00,16313.36966308464
2018-09-30 00:00:00+00:00,16358.422339659917
2018-10-31 00:00:00+00:00,15993.005705602238
2018-11-30 00:00:00+00:00,
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,
2019-03-31 00:00:00+00:00,16135.722001841381
2019-04-30 00:00:00+00:00,15687.445694480273
2019-05-31 00:00:00+00:00,16544.432924908262
2019-06-30 00:00:00+00:00,16291.44230267507
2019-07-31 00:00:00+00:00,16147.19917997748
2019-08-31 00:00:00+00:00,16105.529353652779
2019-09-30 00:00:00+00:00,16278.645722720728
2019-10-31 00:00:00+00:00,
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,
2020-03-31 00:00:00+00:00,16051.935862324231
2020-04-30 00:00:00+00:00,16194.782351099899
2020-05-31 00:00:00+00:00,16480.713526507985
2020-06-30 00:00:00+00:00,15947.88766370826
2020-07-31 00:00:00+00:00,16484.341490279046
2020-08-31 00:00:00+00:00,15639.443903597341
2020-09-30 00:00:00+00:00,16333.063900980213
2020-10-31 00:00:00+00:00,
2020-11-30 00:00:00+00:00,
2020-12-31 00:00:00+00:00,
2021-01-31 00:00:00+00:00,
2021-02-28 00:00:00+00:00,
2021-03-31 00:00:00+00:00,16545.458228828953
2021-04-30 00:00:00+00:00,15962.484611251943
2021-05-31 00:00:00+00:00,16182.560193067826
2021-06-30 00:00:00+00:00,15549.45784416576
2021-07-31 00:00:00+00:00,15472.6608842825
2021-08-31 00:00:00+00:00,15864.74453687755
2021-09-30 00:00:00+00:00,15812.050966962275
