time,P
2015-12-27 00:00:00+00:00,673.9059091693512
2016-01-03 00:00:00+00:00,
2016-01-10 00:00:00+00:00,
2016-01-17 00:00:00+00:00,
2016-01-24 00:00:00+00:00,
2016-01-31 00:00:00+00:00,
2016-02-07 00:00:00+00:00,413.48698832325067
2016-02-14 00:00:00+00:00,580.9529027148669
2016-02-21 00:00:00+00:00,
2016-02-28 00:00:00+00:00,
2016-03-06 00:00:00+00:00,
2016-03-13 00:00:00+00:00,
2016-03-20 00:00:00+00:00,8898.03137740376
2016-03-27 00:00:00+00:00,8169.760830390978
2016-04-03 00:00:00+00:00,9704.99881850201
2016-04-10 00:00:00+00:00,10031.98759289506
2016-04-17 00:00:00+00:00,11724.4714271829
2016-04-24 00:00:00+00:00,9370.747764727617
2016-05-01 00:00:00+00:00,10972.04797053778
2016-05-08 00:00:00+00:00,12631.011165522003
2016-05-15 00:00:00+00:00,12088.887332524213
2016-05-22 00:00:00+00:00,11870.322486423545
2016-05-29 00:00:00+00:00,11174.138239695738
2016-06-05 00:00:00+00:00,11783.831226949374
2016-06-12 00:00:00+00:00,10360.074283275619
2016-06-19 00:00:00+00:00,10962.20272179094
2016-06-26 00:00:00+00:00,9840.040411040969
2016-07-03 00:00:00+00:00,10715.603926974974
2016-07-10 00:00:00+00:00,9361.343857410082
2016-07-17 00:00:00+00:00,11382.831209797812
2016-07-24 00:00:00+00:00,10786.820837987627
2016-07-31 00:00:00+00:00,10605.318480894866
2016-08-07 00:00:00+00:00,8311.195806322698
2016-08-14 00:00:00+00:00,9620.600276798757
2016-08-21 00:00:00+00:00,9093.300544704689
2016-08-28 00:00:00+00:00,8320.419456241014
2016-09-04 00:00:00+00:00,9420.880068763176
2016-09-11 00:00:00+00:00,10304.339534210802
2016-09-18 00:00:00+00:00,9638.133157605607
2016-09-25 00:00:00+00:00,7610.045347947419
2016-10-02 00:00:00+00:00,6653.740061776635
2016-10-09 00:00:00+00:00,8588.248643282855
2016-10-16 00:00:00+00:00,3217.0997953003234
2016-10-23 00:00:00+00:00,4997.247515855735
2016-10-30 00:00:00+00:00,895.8043100200277
2016-11-06 00:00:00+00:00,1728.9431224203902
2016-11-13 00:00:00+00:00,
2016-11-20 00:00:00+00:00,1276.3561536280433
2016-11-27 00:00:00+00:00,790.0134153925205
2016-12-04 00:00:00+00:00,1115.992424503601
2016-12-11 00:00:00+00:00,698.206133764655
2016-12-18 00:00:00+00:00,427.61180985029813
2016-12-25 00:00:00+00:00,430.59301222577864
2017-01-01 00:00:00+00:00,389.1524930913771
2017-01-08 00:00:00+00:00,587.1490133913294
2017-01-15 00:00:00+00:00,523.8139159001302
2017-01-22 00:00:00+00:00,954.3249736008506
2017-01-29 00:00:00+00:00,1919.840466651538
2017-02-05 00:00:00+00:00,
2017-02-12 00:00:00+00:00,
2017-02-19 00:00:00+00:00,3897.4210588887586
2017-02-26 00:00:00+00:00,
2017-03-05 00:00:00+00:00,5125.682293568707
2017-03-12 00:00:00+00:00,8026.1454679202725
2017-03-19 00:00:00+00:00,7533.512705946929
2017-03-26 00:00:00+00:00,8733.024222450944
2017-04-02 00:00:00+00:00,8796.47086349598
2017-04-09 00:00:00+00:00,7893.7385026164875
2017-04-16 00:00:00+00:00,9754.759837012112
2017-04-23 00:00:00+00:00,10997.510400941868
2017-04-30 00:00:00+00:00,11807.872642071372
2017-05-07 00:00:00+00:00,12998.892247444037
2017-05-14 00:00:00+00:00,11617.397028474665
2017-05-21 00:00:00+00:00,11207.903801387583
2017-05-28 00:00:00+00:00,11215.991890150324
2017-06-04 00:00:00+00:00,11643.255641628082
2017-06-11 00:00:00+00:00,11601.351336281825
2017-06-18 00:00:00+00:00,10402.981109556826
2017-06-25 00:00:00+00:00,11083.489216222895
2017-07-02 00:00:00+00:00,11244.995837516322
2017-07-09 00:00:00+00:00,10969.784364920833
2017-07-16 00:00:00+00:00,11257.842566162966
2017-07-23 00:00:00+00:00,9912.359895795462
2017-07-30 00:00:00+00:00,10644.751035100471
2017-08-06 00:00:00+00:00,10670.722790633446
2017-08-13 00:00:00+00:00,10771.521394514979
2017-08-20 00:00:00+00:00,9490.075164333688
2017-08-27 00:00:00+00:00,7709.200318325834
2017-09-03 00:00:00+00:00,7194.166093508545
2017-09-10 00:00:00+00:00,8130.725194698269
2017-09-17 00:00:00+00:00,8274.645598868765
2017-09-24 00:00:00+00:00,6712.230701893266
2017-10-01 00:00:00+00:00,5966.88329551401
2017-10-08 00:00:00+00:00,3470.653819084272
2017-10-15 00:00:00+00:00,4466.3171711703
2017-10-22 00:00:00+00:00,5419.154476524897
2017-10-29 00:00:00+00:00,4731.512798967171
2017-11-05 00:00:00+00:00,3788.065520550439
2017-11-12 00:00:00+00:00,
2017-11-19 00:00:00+00:00,
2017-11-26 00:00:00+00:00,
2017-12-03 00:00:00+00:00,
2017-12-10 00:00:00+00:00,
2017-12-17 00:00:00+00:00,
2017-12-24 00:00:00+00:00,
2017-12-31 00:00:00+00:00,
2018-01-07 00:00:00+00:00,
2018-01-14 00:00:00+00:00,
2018-01-21 00:00:00+00:00,
2018-01-28 00:00:00+00:00,
2018-02-04 00:00:00+00:00,
2018-02-11 00:00:00+00:00,
2018-02-18 00:00:00+00:00,
2018-02-25 00:00:00+00:00,
2018-03-04 00:00:00+00:00,
2018-03-11 00:00:00+00:00,
2018-03-18 00:00:00+00:00,
2018-03-25 00:00:00+00:00,
2018-04-01 00:00:00+00:00,
2018-04-08 00:00:00+00:00,
2018-04-15 00:00:00+00:00,
2018-04-22 00:00:00+00:00,
2018-04-29 00:00:00+00:00,
2018-05-06 00:00:00+00:00,
2018-05-13 00:00:00+00:00,
2018-05-20 00:00:00+00:00,
2018-05-27 00:00:00+00:00,
2018-06-03 00:00:00+00:00,
2018-06-10 00:00:00+00:00,12696.80985608432
2018-06-17 00:00:00+00:00,12075.723931070444
2018-06-24 00:00:00+00:00,10650.70290278226
2018-07-01 00:00:00+00:00,11405.313298407955
2018-07-08 00:00:00+00:00,9552.443092329291
2018-07-15 00:00:00+00:00,10195.429938335015
2018-07-22 00:00:00+00:00,11173.279920310822
2018-07-29 00:00:00+00:00,10547.934107023286
2018-08-05 00:00:00+00:00,10633.943258237596
2018-08-12 00:00:00+00:00,11384.415239889277
2018-08-19 00:00:00+00:00,10657.159557554325
2018-08-26 00:00:00+00:00,9732.910514786598
2018-09-02 00:00:00+00:00,7841.459320931326
2018-09-09 00:00:00+00:00,7138.197449254997
2018-09-16 00:00:00+00:00,8202.6720072777
2018-09-23 00:00:00+00:00,7684.722713113281
2018-09-30 00:00:00+00:00,8757.43844900477
2018-10-07 00:00:00+00:00,6473.033555150553
2018-10-14 00:00:00+00:00,5988.3650860320795
2018-10-21 00:00:00+00:00,4887.276727102306
2018-10-28 00:00:00+00:00,3981.236814433954
2018-11-04 00:00:00+00:00,2076.8481834935824
2018-11-11 00:00:00+00:00,418.22100262912033
2018-11-18 00:00:00+00:00,1086.1770642998947
2018-11-25 00:00:00+00:00,1266.8030477456718
2018-12-02 00:00:00+00:00,1089.8273530769611
2018-12-09 00:00:00+00:00,321.0379186690737
2018-12-16 00:00:00+00:00,
2018-12-23 00:00:00+00:00,
2018-12-30 00:00:00+00:00,531.4403551347012
2019-01-06 00:00:00+00:00,
2019-01-13 00:00:00+00:00,
2019-01-20 00:00:00+00:00,
2019-01-27 00:00:00+00:00,
2019-02-03 00:00:00+00:00,
2019-02-10 00:00:00+00:00,
2019-02-17 00:00:00+00:00,
2019-02-24 00:00:00+00:00,
2019-03-03 00:00:00+00:00,7394.815244253638
2019-03-10 00:00:00+00:00,2031.5928195240185
2019-03-17 00:00:00+00:00,2971.424436924405
2019-03-24 00:00:00+00:00,8810.228762721916
2019-03-31 00:00:00+00:00,9091.15189256295
2019-04-07 00:00:00+00:00,11198.024409512802
2019-04-14 00:00:00+00:00,7628.864597738833
2019-04-21 00:00:00+00:00,11901.436848577687
2019-04-28 00:00:00+00:00,10642.604296437747
2019-05-05 00:00:00+00:00,11407.54473854496
2019-05-12 00:00:00+00:00,11727.242380635833
2019-05-19 00:00:00+00:00,12339.617240474843
2019-05-26 00:00:00+00:00,10878.320529773804
2019-06-02 00:00:00+00:00,11886.786744534127
2019-06-09 00:00:00+00:00,12115.37572251392
2019-06-16 00:00:00+00:00,11691.931033615732
2019-06-23 00:00:00+00:00,12297.231076408581
2019-06-30 00:00:00+00:00,11298.304236102305
2019-07-07 00:00:00+00:00,11085.87171651477
2019-07-14 00:00:00+00:00,10467.430759574017
2019-07-21 00:00:00+00:00,11797.730758727621
2019-07-28 00:00:00+00:00,11477.565697295855
2019-08-04 00:00:00+00:00,11066.226148821
2019-08-11 00:00:00+00:00,9936.556090390684
