time,P
2017-04-29 00:00:00+00:00,11860.233170923097
2017-04-30 00:00:00+00:00,
2017-05-01 00:00:00+00:00,12587.534448245158
2017-05-02 00:00:00+00:00,12926.100073724874
2017-05-03 00:00:00+00:00,10910.181566683723
2017-05-04 00:00:00+00:00,13438.168495702348
2017-05-05 00:00:00+00:00,13815.42828452499
2017-05-06 00:00:00+00:00,12738.390842051243
2017-05-07 00:00:00+00:00,12920.715106751928
2017-05-08 00:00:00+00:00,11430.572763365963
2017-05-09 00:00:00+00:00,
2017-05-10 00:00:00+00:00,
2017-05-11 00:00:00+00:00,
2017-05-12 00:00:00+00:00,11661.80887365657
2017-05-13 00:00:00+00:00,12940.664838463083
2017-05-14 00:00:00+00:00,11847.286759017297
2017-05-15 00:00:00+00:00,
2017-05-16 00:00:00+00:00,13110.048702081254
2017-05-17 00:00:00+00:00,7084.483379657175
2017-05-18 00:00:00+00:00,6890.367037790657
2017-05-19 00:00:00+00:00,13237.207159853057
2017-05-20 00:00:00+00:00,9359.475028954997
2017-05-21 00:00:00+00:00,12128.997713625124
2017-05-22 00:00:00+00:00,12703.733519136329
2017-05-23 00:00:00+00:00,13003.911845583241
2017-05-24 00:00:00+00:00,13053.792475393531
2017-05-25 00:00:00+00:00,11944.260422097503
2017-05-26 00:00:00+00:00,13653.560792411223
2017-05-27 00:00:00+00:00,8450.388625742533
2017-05-28 00:00:00+00:00,4419.511994153351
2017-05-29 00:00:00+00:00,7389.448133931162
2017-05-30 00:00:00+00:00,13584.886713374768
2017-05-31 00:00:00+00:00,12079.497428213557
2017-06-01 00:00:00+00:00,14563.59502325434
2017-06-02 00:00:00+00:00,
2017-06-03 00:00:00+00:00,6494.362489856245
2017-06-04 00:00:00+00:00,13614.139297890848
2017-06-05 00:00:00+00:00,10335.300487521201
2017-06-06 00:00:00+00:00,13990.14791324694
2017-06-07 00:00:00+00:00,11510.400780477397
2017-06-08 00:00:00+00:00,12738.541841656954
2017-06-09 00:00:00+00:00,11844.059548500343
2017-06-10 00:00:00+00:00,12906.477725171335
2017-06-11 00:00:00+00:00,13126.432726426949
2017-06-12 00:00:00+00:00,11498.177530511412
2017-06-13 00:00:00+00:00,8303.335673453956
2017-06-14 00:00:00+00:00,13964.268261832814
2017-06-15 00:00:00+00:00,11675.119731304594
2017-06-16 00:00:00+00:00,12814.343585288709
2017-06-17 00:00:00+00:00,11082.325100342583
2017-06-18 00:00:00+00:00,9566.015930068394
2017-06-19 00:00:00+00:00,12255.676295798541
2017-06-20 00:00:00+00:00,6722.890955514741
2017-06-21 00:00:00+00:00,14046.628616490574
2017-06-22 00:00:00+00:00,12248.715741262877
2017-06-23 00:00:00+00:00,14113.092056165435
2017-06-24 00:00:00+00:00,12175.551062068616
2017-06-25 00:00:00+00:00,10454.964157442175
2017-06-26 00:00:00+00:00,13451.122790723983
2017-06-27 00:00:00+00:00,14683.766260841518
2017-06-28 00:00:00+00:00,14052.204839523449
2017-06-29 00:00:00+00:00,13383.311864428633
2017-06-30 00:00:00+00:00,12973.380922089653
2017-07-01 00:00:00+00:00,13233.096172146894
2017-07-02 00:00:00+00:00,12634.619691312917
2017-07-03 00:00:00+00:00,11728.12530977574
2017-07-04 00:00:00+00:00,13396.79422289847
2017-07-05 00:00:00+00:00,
2017-07-06 00:00:00+00:00,
2017-07-07 00:00:00+00:00,13743.322225386806
2017-07-08 00:00:00+00:00,13332.760971336407
2017-07-09 00:00:00+00:00,11612.281923109114
2017-07-10 00:00:00+00:00,
2017-07-11 00:00:00+00:00,
2017-07-12 00:00:00+00:00,
2017-07-13 00:00:00+00:00,14185.863552560364
2017-07-14 00:00:00+00:00,12426.603036671908
2017-07-15 00:00:00+00:00,12005.30963926612
2017-07-16 00:00:00+00:00,12812.680589598413
2017-07-17 00:00:00+00:00,10106.055004450396
2017-07-18 00:00:00+00:00,12824.91122049282
2017-07-19 00:00:00+00:00,9728.859678913577
2017-07-20 00:00:00+00:00,15558.922209307275
2017-07-21 00:00:00+00:00,10469.263757704926
2017-07-22 00:00:00+00:00,14474.077568610459
2017-07-23 00:00:00+00:00,11884.854606629604
2017-07-24 00:00:00+00:00,6722.651744658553
2017-07-25 00:00:00+00:00,
2017-07-26 00:00:00+00:00,14147.512943201074
2017-07-27 00:00:00+00:00,6657.056130386964
2017-07-28 00:00:00+00:00,12692.450156607681
2017-07-29 00:00:00+00:00,11391.678513291847
2017-07-30 00:00:00+00:00,11359.389197133978
2017-07-31 00:00:00+00:00,12678.192994881487
2017-08-01 00:00:00+00:00,12573.309377752417
2017-08-02 00:00:00+00:00,
2017-08-03 00:00:00+00:00,
2017-08-04 00:00:00+00:00,11858.326993833844
2017-08-05 00:00:00+00:00,12793.812636435283
2017-08-06 00:00:00+00:00,11314.061300103383
2017-08-07 00:00:00+00:00,
2017-08-08 00:00:00+00:00,12520.530283824539
2017-08-09 00:00:00+00:00,11765.180384097848
2017-08-10 00:00:00+00:00,12443.185637880546
2017-08-11 00:00:00+00:00,11387.496065529667
2017-08-12 00:00:00+00:00,10336.797155095066
2017-08-13 00:00:00+00:00,12669.317184894328
2017-08-14 00:00:00+00:00,10708.013688949428
2017-08-15 00:00:00+00:00,12480.646825975367
2017-08-16 00:00:00+00:00,10840.89450539126
2017-08-17 00:00:00+00:00,10576.950504972256
2017-08-18 00:00:00+00:00,
2017-08-19 00:00:00+00:00,11105.869415673267
2017-08-20 00:00:00+00:00,11607.830882122267
2017-08-21 00:00:00+00:00,12080.971296492273
2017-08-22 00:00:00+00:00,
2017-08-23 00:00:00+00:00,
2017-08-24 00:00:00+00:00,
2017-08-25 00:00:00+00:00,
2017-08-26 00:00:00+00:00,
2017-08-27 00:00:00+00:00,
2017-08-28 00:00:00+00:00,
2017-08-29 00:00:00+00:00,
2017-08-30 00:00:00+00:00,
2017-08-31 00:00:00+00:00,
2017-09-01 00:00:00+00:00,
2017-09-02 00:00:00+00:00,
2017-09-03 00:00:00+00:00,
2017-09-04 00:00:00+00:00,
2017-09-05 00:00:00+00:00,
2017-09-06 00:00:00+00:00,
2017-09-07 00:00:00+00:00,
2017-09-08 00:00:00+00:00,
2017-09-09 00:00:00+00:00,
2017-09-10 00:00:00+00:00,
2017-09-11 00:00:00+00:00,
2017-09-12 00:00:00+00:00,
2017-09-13 00:00:00+00:00,8360.612717710672
2017-09-14 00:00:00+00:00,
2017-09-15 00:00:00+00:00,3785.5433602649264
2017-09-16 00:00:00+00:00,8472.86551485999
2017-09-17 00:00:00+00:00,9170.3
2017-09-18 00:00:00+00:00,7312.637193923478
2017-09-19 00:00:00+00:00,
2017-09-20 00:00:00+00:00,
2017-09-21 00:00:00+00:00,
2017-09-22 00:00:00+00:00,8586.495530772798
2017-09-23 00:00:00+00:00,
2017-09-24 00:00:00+00:00,8311.70382084728
2017-09-25 00:00:00+00:00,8600.042311019939
2017-09-26 00:00:00+00:00,
2017-09-27 00:00:00+00:00,
2017-09-28 00:00:00+00:00,
2017-09-29 00:00:00+00:00,
2017-09-30 00:00:00+00:00,
2017-10-01 00:00:00+00:00,2725.4521942336714
2017-10-02 00:00:00+00:00,
2017-10-03 00:00:00+00:00,
2017-10-04 00:00:00+00:00,
2017-10-05 00:00:00+00:00,8341.831295595275
2017-10-06 00:00:00+00:00,9009.366701700843
2017-10-07 00:00:00+00:00,5212.125041249111
2017-10-08 00:00:00+00:00,
2017-10-09 00:00:00+00:00,
2017-10-10 00:00:00+00:00,4742.097484994288
2017-10-11 00:00:00+00:00,8317.486963668973
2017-10-12 00:00:00+00:00,4670.194110895892
2017-10-13 00:00:00+00:00,6951.840932468836
2017-10-14 00:00:00+00:00,
2017-10-15 00:00:00+00:00,7199.427318487299
2017-10-16 00:00:00+00:00,
2017-10-17 00:00:00+00:00,6266.577676855077
2017-10-18 00:00:00+00:00,
2017-10-19 00:00:00+00:00,
2017-10-20 00:00:00+00:00,3649.061589109366
2017-10-21 00:00:00+00:00,4700.586118009032
2017-10-22 00:00:00+00:00,
2017-10-23 00:00:00+00:00,5844.985331773435
2017-10-24 00:00:00+00:00,
2017-10-25 00:00:00+00:00,5516.127203220493
2017-10-26 00:00:00+00:00,
2017-10-27 00:00:00+00:00,1630.112784558084
2017-10-28 00:00:00+00:00,
2017-10-29 00:00:00+00:00,
2017-10-30 00:00:00+00:00,
2017-10-31 00:00:00+00:00,
2017-11-01 00:00:00+00:00,
2017-11-02 00:00:00+00:00,
2017-11-03 00:00:00+00:00,
2017-11-04 00:00:00+00:00,
2017-11-05 00:00:00+00:00,
