time,P
2017-04-30 00:00:00+00:00,11176.713014679532
2017-05-31 00:00:00+00:00,12466.754015167977
2017-06-30 00:00:00+00:00,12590.822206696703
2017-07-31 00:00:00+00:00,12675.278169614405
2017-08-31 00:00:00+00:00,11399.460081286406
2017-09-30 00:00:00+00:00,7992.53900428215
2017-10-31 00:00:00+00:00,5235.905117631092
2017-11-30 00:00:00+00:00,2662.357127217955
2017-12-31 00:00:00+00:00,
2018-01-31 00:00:00+00:00,
2018-02-28 00:00:00+00:00,
2018-03-31 00:00:00+00:00,
2018-04-30 00:00:00+00:00,11902.757145720916
2018-05-31 00:00:00+00:00,11611.671878198595
2018-06-30 00:00:00+00:00,12551.458102473309
2018-07-31 00:00:00+00:00,11939.293917341196
2018-08-31 00:00:00+00:00,11641.63375472787
2018-09-30 00:00:00+00:00,9092.387512890939
2018-10-31 00:00:00+00:00,6348.692927357013
2018-11-30 00:00:00+00:00,1651.5233077590938
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,
2019-03-31 00:00:00+00:00,
2019-04-30 00:00:00+00:00,11072.08209052033
2019-05-31 00:00:00+00:00,12456.777497059658
2019-06-30 00:00:00+00:00,12637.248307398255
2019-07-31 00:00:00+00:00,11878.810932640421
2019-08-31 00:00:00+00:00,10995.05163881164
2019-09-30 00:00:00+00:00,9238.879460939284
2019-10-31 00:00:00+00:00,5201.813866768097
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,6660.2321547175015
2020-03-31 00:00:00+00:00,8027.988295826092
2020-04-30 00:00:00+00:00,11602.974890712223
2020-05-31 00:00:00+00:00,12597.724490893681
2020-06-30 00:00:00+00:00,12436.177412328432
2020-07-31 00:00:00+00:00,12533.735257959805
2020-08-31 00:00:00+00:00,11228.070578731316
2020-09-30 00:00:00+00:00,8856.38585702037
2020-10-31 00:00:00+00:00,6048.816077505683
2020-11-30 00:00:00+00:00,1451.5345216126666
