time,P
2017-04-30 00:00:00+00:00,9797.77018812425
2017-05-31 00:00:00+00:00,10649.042437147744
2017-06-30 00:00:00+00:00,10764.134821004578
2017-07-31 00:00:00+00:00,10693.279402259743
2017-08-31 00:00:00+00:00,9575.950708547734
2017-09-30 00:00:00+00:00,5391.612447403818
2017-10-31 00:00:00+00:00,4411.442433592588
2017-11-30 00:00:00+00:00,2662.2194228589215
2017-12-31 00:00:00+00:00,
2018-01-31 00:00:00+00:00,
2018-02-28 00:00:00+00:00,
2018-03-31 00:00:00+00:00,
2018-04-30 00:00:00+00:00,9070.520865043372
2018-05-31 00:00:00+00:00,11054.698924584127
2018-06-30 00:00:00+00:00,10426.828025260402
2018-07-31 00:00:00+00:00,11342.628713330878
2018-08-31 00:00:00+00:00,10011.751996777648
2018-09-30 00:00:00+00:00,7473.366875824297
2018-10-31 00:00:00+00:00,5713.301095326965
2018-11-30 00:00:00+00:00,1856.9714025237004
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,
2019-03-31 00:00:00+00:00,
2019-04-30 00:00:00+00:00,10565.760442931269
2019-05-31 00:00:00+00:00,10407.38184522114
2019-06-30 00:00:00+00:00,11426.003153259748
2019-07-31 00:00:00+00:00,10233.130956549396
2019-08-31 00:00:00+00:00,9285.48081428823
2019-09-30 00:00:00+00:00,7657.121137404637
2019-10-31 00:00:00+00:00,4516.44519994246
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,6490.614496383701
2020-03-31 00:00:00+00:00,6499.841950233329
2020-04-30 00:00:00+00:00,9487.30177781995
2020-05-31 00:00:00+00:00,11553.118588109957
2020-06-30 00:00:00+00:00,11626.650400872115
2020-07-31 00:00:00+00:00,10504.12315395795
2020-08-31 00:00:00+00:00,9919.740190112985
2020-09-30 00:00:00+00:00,8082.920544749462
2020-10-31 00:00:00+00:00,5239.038575119213
2020-11-30 00:00:00+00:00,1578.3322321483593
