time,P
2017-04-30 00:00:00+00:00,10962.168097534035
2017-05-31 00:00:00+00:00,12477.29552837837
2017-06-30 00:00:00+00:00,12576.93255017709
2017-07-31 00:00:00+00:00,12673.521589016294
2017-08-31 00:00:00+00:00,11388.042316472263
2017-09-30 00:00:00+00:00,8167.8790060669135
2017-10-31 00:00:00+00:00,5833.819142206493
2017-11-30 00:00:00+00:00,3020.9503642609193
2017-12-31 00:00:00+00:00,
2018-01-31 00:00:00+00:00,
2018-02-28 00:00:00+00:00,
2018-03-31 00:00:00+00:00,
2018-04-30 00:00:00+00:00,11811.334415167668
2018-05-31 00:00:00+00:00,11661.59843248023
2018-06-30 00:00:00+00:00,12443.109875478873
2018-07-31 00:00:00+00:00,11948.835904416124
2018-08-31 00:00:00+00:00,11607.41918889003
2018-09-30 00:00:00+00:00,9217.346267046929
2018-10-31 00:00:00+00:00,6719.256883135524
2018-11-30 00:00:00+00:00,2222.0360583128577
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,
2019-03-31 00:00:00+00:00,
2019-04-30 00:00:00+00:00,11135.128773003256
2019-05-31 00:00:00+00:00,12489.057317417124
2019-06-30 00:00:00+00:00,12656.94264707037
2019-07-31 00:00:00+00:00,11905.126827393116
2019-08-31 00:00:00+00:00,11051.956723273313
2019-09-30 00:00:00+00:00,9363.303120292821
2019-10-31 00:00:00+00:00,5656.86424798723
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,6996.035436498881
2020-03-31 00:00:00+00:00,8213.405720933686
2020-04-30 00:00:00+00:00,11601.709807738447
2020-05-31 00:00:00+00:00,12615.752634511971
2020-06-30 00:00:00+00:00,12449.137343006894
2020-07-31 00:00:00+00:00,12561.968516274123
2020-08-31 00:00:00+00:00,11302.319878706669
2020-09-30 00:00:00+00:00,9000.153972123395
2020-10-31 00:00:00+00:00,6283.391551711966
2020-11-30 00:00:00+00:00,2237.618147419502
