time,P
2017-04-30 00:00:00+00:00,9523.288939672608
2017-05-31 00:00:00+00:00,10590.987554616278
2017-06-30 00:00:00+00:00,10711.527551073708
2017-07-31 00:00:00+00:00,10663.247719490837
2017-08-31 00:00:00+00:00,9562.08785094437
2017-09-30 00:00:00+00:00,5417.810859688061
2017-10-31 00:00:00+00:00,4505.583300112544
2017-11-30 00:00:00+00:00,3002.6838858282567
2017-12-31 00:00:00+00:00,
2018-01-31 00:00:00+00:00,
2018-02-28 00:00:00+00:00,
2018-03-31 00:00:00+00:00,
2018-04-30 00:00:00+00:00,8824.480311622283
2018-05-31 00:00:00+00:00,11159.154963617484
2018-06-30 00:00:00+00:00,10436.961471619468
2018-07-31 00:00:00+00:00,11459.789755035326
2018-08-31 00:00:00+00:00,10170.26719269495
2018-09-30 00:00:00+00:00,7570.127381821311
2018-10-31 00:00:00+00:00,5995.22319161505
2018-11-30 00:00:00+00:00,2298.5402955871245
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,
2019-03-31 00:00:00+00:00,
2019-04-30 00:00:00+00:00,10604.849560955727
2019-05-31 00:00:00+00:00,10431.537825824858
2019-06-30 00:00:00+00:00,11438.10711414331
2019-07-31 00:00:00+00:00,10245.131951469424
2019-08-31 00:00:00+00:00,9316.165558020339
2019-09-30 00:00:00+00:00,7727.298561999885
2019-10-31 00:00:00+00:00,4684.649437709234
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,6868.508585178402
2020-03-31 00:00:00+00:00,6555.492123657109
2020-04-30 00:00:00+00:00,9475.44342619994
2020-05-31 00:00:00+00:00,11565.72434034043
2020-06-30 00:00:00+00:00,11631.652701455409
2020-07-31 00:00:00+00:00,10522.59815918222
2020-08-31 00:00:00+00:00,9960.173362062982
2020-09-30 00:00:00+00:00,8180.848675507962
2020-10-31 00:00:00+00:00,5368.667700771551
2020-11-30 00:00:00+00:00,2248.597941770662
