time,PI
2017-04-30 00:00:00+00:00,0.945164221777045
2017-05-31 00:00:00+00:00,0.9281061046592358
2017-06-30 00:00:00+00:00,0.9358979233284523
2017-07-31 00:00:00+00:00,0.9439923535151953
2017-08-31 00:00:00+00:00,0.9660865958385076
2017-09-30 00:00:00+00:00,0.976524897111774
2017-10-31 00:00:00+00:00,0.9399053027183677
2017-11-30 00:00:00+00:00,
2017-12-31 00:00:00+00:00,
2018-01-31 00:00:00+00:00,
2018-02-28 00:00:00+00:00,
2018-03-31 00:00:00+00:00,
2018-04-30 00:00:00+00:00,0.9262607411338776
2018-05-31 00:00:00+00:00,0.904707788015703
2018-06-30 00:00:00+00:00,0.9179033073168839
2018-07-31 00:00:00+00:00,0.9328368199787203
2018-08-31 00:00:00+00:00,0.9473878629785012
2018-09-30 00:00:00+00:00,0.9510577717892329
2018-10-31 00:00:00+00:00,0.943976487105914
2018-11-30 00:00:00+00:00,
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,
2019-03-31 00:00:00+00:00,
2019-04-30 00:00:00+00:00,0.9305770704236445
2019-05-31 00:00:00+00:00,0.9301804876938058
2019-06-30 00:00:00+00:00,0.9342480114335732
2019-07-31 00:00:00+00:00,0.9366725032919465
2019-08-31 00:00:00+00:00,0.946857331502288
2019-09-30 00:00:00+00:00,0.9664020362855162
2019-10-31 00:00:00+00:00,0.9392457448914382
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,
2020-03-31 00:00:00+00:00,0.941453465497695
2020-04-30 00:00:00+00:00,0.9310730121836275
2020-05-31 00:00:00+00:00,0.9254554902234399
2020-06-30 00:00:00+00:00,0.9237274830819531
2020-07-31 00:00:00+00:00,0.9368764661323767
2020-08-31 00:00:00+00:00,0.9434948149108472
2020-09-30 00:00:00+00:00,0.9571297892107824
2020-10-31 00:00:00+00:00,0.9447948228592015
