time,P
2017-04-30 00:00:00+00:00,10952.570106019888
2017-05-07 00:00:00+00:00,12575.723200884155
2017-05-14 00:00:00+00:00,11857.008556452103
2017-05-21 00:00:00+00:00,11991.06221852697
2017-05-28 00:00:00+00:00,12511.562373194136
2017-06-04 00:00:00+00:00,12941.79131158262
2017-06-11 00:00:00+00:00,12163.02513467285
2017-06-18 00:00:00+00:00,11938.469264931291
2017-06-25 00:00:00+00:00,12122.268010385462
2017-07-02 00:00:00+00:00,12912.012878634698
2017-07-09 00:00:00+00:00,12593.96722770953
2017-07-16 00:00:00+00:00,12725.19180633738
2017-07-23 00:00:00+00:00,12945.525664945666
2017-07-30 00:00:00+00:00,11576.339417284658
2017-08-06 00:00:00+00:00,11902.343177587485
2017-08-13 00:00:00+00:00,11166.299092298776
2017-08-20 00:00:00+00:00,11079.445197843494
2017-08-27 00:00:00+00:00,11663.840906778045
2017-09-03 00:00:00+00:00,
2017-09-10 00:00:00+00:00,
2017-09-17 00:00:00+00:00,7153.631991664817
2017-09-24 00:00:00+00:00,7726.89542521395
2017-10-01 00:00:00+00:00,8270.601875637707
2017-10-08 00:00:00+00:00,6758.736119622778
2017-10-15 00:00:00+00:00,6693.739461963152
2017-10-22 00:00:00+00:00,4644.4284724296185
2017-10-29 00:00:00+00:00,4069.660352469588
2017-11-05 00:00:00+00:00,
2017-11-12 00:00:00+00:00,2536.4453721012687
2017-11-19 00:00:00+00:00,
2017-11-26 00:00:00+00:00,
2017-12-03 00:00:00+00:00,
2017-12-10 00:00:00+00:00,
2017-12-17 00:00:00+00:00,
2017-12-24 00:00:00+00:00,
2017-12-31 00:00:00+00:00,
2018-01-07 00:00:00+00:00,
2018-01-14 00:00:00+00:00,
2018-01-21 00:00:00+00:00,
2018-01-28 00:00:00+00:00,
2018-02-04 00:00:00+00:00,
2018-02-11 00:00:00+00:00,
2018-02-18 00:00:00+00:00,
2018-02-25 00:00:00+00:00,
2018-03-04 00:00:00+00:00,
2018-03-11 00:00:00+00:00,
2018-03-18 00:00:00+00:00,
2018-03-25 00:00:00+00:00,
2018-04-01 00:00:00+00:00,
2018-04-08 00:00:00+00:00,
2018-04-15 00:00:00+00:00,
2018-04-22 00:00:00+00:00,
2018-04-29 00:00:00+00:00,11564.64105673207
2018-05-06 00:00:00+00:00,11969.615768857213
2018-05-13 00:00:00+00:00,11470.10623398728
2018-05-20 00:00:00+00:00,11030.317291491314
2018-05-27 00:00:00+00:00,11606.218095591015
2018-06-03 00:00:00+00:00,11596.588229551662
2018-06-10 00:00:00+00:00,13078.610375686594
2018-06-17 00:00:00+00:00,12757.521917588816
2018-06-24 00:00:00+00:00,12467.540636112002
2018-07-01 00:00:00+00:00,12667.398686116947
2018-07-08 00:00:00+00:00,12234.230629994689
2018-07-15 00:00:00+00:00,12140.825532203138
2018-07-22 00:00:00+00:00,11661.845409390151
2018-07-29 00:00:00+00:00,11329.466882040586
2018-08-05 00:00:00+00:00,11518.468262063072
2018-08-12 00:00:00+00:00,11782.262118390925
2018-08-19 00:00:00+00:00,11906.762045887695
2018-08-26 00:00:00+00:00,11153.098385028115
2018-09-02 00:00:00+00:00,10417.534003942179
2018-09-09 00:00:00+00:00,9875.400910733553
2018-09-16 00:00:00+00:00,8446.677751843956
2018-09-23 00:00:00+00:00,7743.318983692419
2018-09-30 00:00:00+00:00,7954.102751077256
2018-10-07 00:00:00+00:00,7425.800208920719
2018-10-14 00:00:00+00:00,6669.948289272646
2018-10-21 00:00:00+00:00,5394.019059313914
2018-10-28 00:00:00+00:00,4679.472054685659
2018-11-04 00:00:00+00:00,1541.7772081019264
2018-11-11 00:00:00+00:00,2101.0219740799216
2018-11-18 00:00:00+00:00,1442.6155629170678
2018-11-25 00:00:00+00:00,1082.9405472304604
2018-12-02 00:00:00+00:00,
2018-12-09 00:00:00+00:00,
2018-12-16 00:00:00+00:00,
2018-12-23 00:00:00+00:00,
2018-12-30 00:00:00+00:00,
2019-01-06 00:00:00+00:00,
2019-01-13 00:00:00+00:00,
