time,P
2017-04-30 00:00:00+00:00,10228.08975676572
2017-05-07 00:00:00+00:00,11915.526838454816
2017-05-14 00:00:00+00:00,11222.275631164403
2017-05-21 00:00:00+00:00,9704.901994616977
2017-05-28 00:00:00+00:00,12280.041780419719
2017-06-04 00:00:00+00:00,10891.287779986356
2017-06-11 00:00:00+00:00,11297.414627366887
2017-06-18 00:00:00+00:00,11019.647691885117
2017-06-25 00:00:00+00:00,11100.992697495072
2017-07-02 00:00:00+00:00,12487.841000987275
2017-07-09 00:00:00+00:00,12171.90274397615
2017-07-16 00:00:00+00:00,11669.945488167887
2017-07-23 00:00:00+00:00,11135.50515243554
2017-07-30 00:00:00+00:00,9425.932465092328
2017-08-06 00:00:00+00:00,11258.246976696002
2017-08-13 00:00:00+00:00,10225.136172588893
2017-08-20 00:00:00+00:00,10283.513556593325
2017-08-27 00:00:00+00:00,9845.411200231638
2017-09-03 00:00:00+00:00,
2017-09-10 00:00:00+00:00,
2017-09-17 00:00:00+00:00,6543.370919322904
2017-09-24 00:00:00+00:00,7453.831393735188
2017-10-01 00:00:00+00:00,8479.518034086344
2017-10-08 00:00:00+00:00,6706.6897615654
2017-10-15 00:00:00+00:00,7350.603343904016
2017-10-22 00:00:00+00:00,5674.5519778955695
2017-10-29 00:00:00+00:00,5127.2425505948595
2017-11-05 00:00:00+00:00,
2017-11-12 00:00:00+00:00,3124.4795337149444
2017-11-19 00:00:00+00:00,
2017-11-26 00:00:00+00:00,
2017-12-03 00:00:00+00:00,
2017-12-10 00:00:00+00:00,
2017-12-17 00:00:00+00:00,
2017-12-24 00:00:00+00:00,
2017-12-31 00:00:00+00:00,
2018-01-07 00:00:00+00:00,
2018-01-14 00:00:00+00:00,
2018-01-21 00:00:00+00:00,
2018-01-28 00:00:00+00:00,
2018-02-04 00:00:00+00:00,
2018-02-11 00:00:00+00:00,
2018-02-18 00:00:00+00:00,
2018-02-25 00:00:00+00:00,
2018-03-04 00:00:00+00:00,
2018-03-11 00:00:00+00:00,
2018-03-18 00:00:00+00:00,
2018-03-25 00:00:00+00:00,
2018-04-01 00:00:00+00:00,
2018-04-08 00:00:00+00:00,
2018-04-15 00:00:00+00:00,
