time,PR
2016-03-31,0.9527317699242921
2016-04-30,0.9267647043867558
2016-05-31,0.9258704714263695
2016-06-30,0.9058840878849185
2016-07-31,0.878931376004692
2016-08-31,0.886037410987716
2016-09-30,0.8814305829200954
2016-10-31,
2016-11-30,
2016-12-31,
2017-01-31,
2017-02-28,
2017-03-31,0.9010766695687207
2017-04-30,0.8862498142091751
2017-05-31,0.8734267725229476
2017-06-30,0.8551351983878972
2017-07-31,0.840356605633285
2017-08-31,0.8601339982354655
2017-09-30,0.8505340711697589
2017-10-31,
2017-11-30,
2017-12-31,
2018-01-31,
2018-02-28,
2018-03-31,0.8646144972785497
2018-04-30,0.8346782294611386
2018-05-31,0.8373189651161775
2018-06-30,0.8115815774765434
2018-07-31,0.8046614788850006
2018-08-31,0.8017802844505483
2018-09-30,0.8133340965493686
2018-10-31,
2018-11-30,
2018-12-31,
2019-01-31,
2019-02-28,0.8344680358525884
2019-03-31,0.8262255551767742
2019-04-30,0.8055525004467405
2019-05-31,0.7901403759246475
2019-06-30,0.778057590694401
2019-07-31,0.7552806210090056
2019-08-31,0.7540513672680073
2019-09-30,0.7595607031129187
2019-10-31,0.7870735494966429
2019-11-30,
2019-12-31,
2020-01-31,
2020-02-29,
2020-03-31,
2020-04-30,0.7647649605779361
2020-05-31,0.7713512007342189
2020-06-30,0.7438748436964798
2020-07-31,0.7363359265465383
