time,PRt
2016-03-31,1.0064509867411306
2016-04-30,1.0074518085148474
2016-05-31,1.0023449777971167
2016-06-30,0.9995741114951463
2016-07-31,0.9964192329639504
2016-08-31,0.9917808680785188
2016-09-30,0.9904191406386179
2016-10-31,
2016-11-30,
2016-12-31,
2017-01-31,
2017-02-28,
2017-03-31,0.9612662329772176
2017-04-30,0.9601451644336103
2017-05-31,0.956140505159485
2017-06-30,0.9529478436731748
2017-07-31,0.9492212804555951
2017-08-31,0.9433331882926683
2017-09-30,0.9405784044812382
2017-10-31,
2017-11-30,
2017-12-31,
2018-01-31,
2018-02-28,
2018-03-31,0.9149754970198578
2018-04-30,0.9136920159402194
2018-05-31,0.907263260571349
2018-06-30,0.9058686500575873
2018-07-31,0.9017685866147643
2018-08-31,0.8988350873607809
2018-09-30,0.8936067088092877
2018-10-31,
2018-11-30,
2018-12-31,
2019-01-31,
2019-02-28,0.8697609300753357
2019-03-31,0.8673867549608667
2019-04-30,0.8665025624259075
2019-05-31,0.8628769074383703
2019-06-30,0.8586736014336004
2019-07-31,0.8569665700629696
2019-08-31,0.8524589505633615
2019-09-30,0.8490219476563137
2019-10-31,0.8435095807161752
2019-11-30,
2019-12-31,
2020-01-31,
2020-02-29,
2020-03-31,
2020-04-30,0.8208672453203247
2020-05-31,0.8157530959049356
2020-06-30,0.8139147258275272
2020-07-31,0.8096741161444437
