time,PI
2016-03-15,0.9851909918176168
2016-03-16,
2016-03-17,
2016-03-18,0.992481231739202
2016-03-19,0.9862505207123883
2016-03-20,
2016-03-21,
2016-03-22,0.9813126089576584
2016-03-23,
2016-03-24,0.9886634721349652
2016-03-25,
2016-03-26,
2016-03-27,
2016-03-28,
2016-03-29,
2016-03-30,
2016-03-31,0.9898518272165516
2016-04-01,0.9833817616901733
2016-04-02,
2016-04-03,
2016-04-04,
2016-04-05,
2016-04-06,
2016-04-07,
2016-04-08,
2016-04-09,
2016-04-10,
2016-04-11,
2016-04-12,
2016-04-13,
2016-04-14,0.9947674727518155
2016-04-15,
2016-04-16,
2016-04-17,
2016-04-18,
2016-04-19,
2016-04-20,0.9917330213920738
2016-04-21,
2016-04-22,
2016-04-23,
2016-04-24,
2016-04-25,
2016-04-26,0.9800674408739859
2016-04-27,
2016-04-28,
2016-04-29,0.988367363838251
2016-04-30,0.9934227695706273
2016-05-01,0.9874409199538098
2016-05-02,
2016-05-03,
2016-05-04,
2016-05-05,
2016-05-06,
2016-05-07,0.9823897091251028
2016-05-08,0.983773647609756
2016-05-09,0.9743266837186114
2016-05-10,0.9778649973762412
2016-05-11,
2016-05-12,
2016-05-13,
2016-05-14,
2016-05-15,
2016-05-16,
2016-05-17,
2016-05-18,
2016-05-19,
2016-05-20,
2016-05-21,
2016-05-22,0.976103307675888
2016-05-23,0.9712189299640573
2016-05-24,0.9807559390471019
2016-05-25,0.9976042141745819
2016-05-26,0.975796390283219
2016-05-27,0.979404692187673
2016-05-28,
2016-05-29,0.9815981441079102
2016-05-30,
2016-05-31,
2016-06-01,0.98937204751675
2016-06-02,0.9730922230234821
2016-06-03,
2016-06-04,
2016-06-05,
2016-06-06,0.9803858442377532
2016-06-07,0.9769436151432545
2016-06-08,0.9767042479437789
2016-06-09,0.9773888604172166
2016-06-10,0.9742302900512333
2016-06-11,0.9898650625176375
2016-06-12,0.9824909862854998
2016-06-13,0.9854731563416064
2016-06-14,
2016-06-15,
2016-06-16,
2016-06-17,0.9760315023406164
2016-06-18,0.9861226047478461
2016-06-19,0.9770421218659315
2016-06-20,0.9776790434102404
2016-06-21,0.990574217327637
2016-06-22,0.9826051444246583
2016-06-23,0.9854249927764729
2016-06-24,
2016-06-25,0.978288877754137
2016-06-26,0.9757060843107448
2016-06-27,
2016-06-28,0.9685880625491116
2016-06-29,
2016-06-30,
2016-07-01,
2016-07-02,0.9825085798770811
2016-07-03,0.9665340087272386
2016-07-04,
2016-07-05,
2016-07-06,0.9679949354505485
2016-07-07,
2016-07-08,
2016-07-09,0.9740107673726833
2016-07-10,0.9701502324716762
2016-07-11,0.9744773627111374
2016-07-12,0.977505160958644
2016-07-13,0.9851094306569043
2016-07-14,0.9799113073119835
2016-07-15,0.9772614843189055
2016-07-16,0.9791308298362379
2016-07-17,
2016-07-18,0.9695013194085739
2016-07-19,
2016-07-20,
2016-07-21,0.97278492439257
2016-07-22,
2016-07-23,
2016-07-24,
2016-07-25,
2016-07-26,
2016-07-27,
2016-07-28,0.9732503617821546
2016-07-29,0.9682347773343809
2016-07-30,
2016-07-31,0.9803769120707144
2016-08-01,0.9754051552092062
2016-08-02,
2016-08-03,0.9742217776788827
2016-08-04,0.9626120746967568
2016-08-05,0.9770644822634633
2016-08-06,
2016-08-07,0.9728148599724044
2016-08-08,0.9719330547122539
2016-08-09,0.9720047500340667
2016-08-10,0.9748137401460897
2016-08-11,
2016-08-12,0.9724577816223796
2016-08-13,
2016-08-14,0.9726781019899148
2016-08-15,0.969850149906755
2016-08-16,0.9693942685292359
2016-08-17,0.983742732052959
2016-08-18,
2016-08-19,
2016-08-20,
2016-08-21,
2016-08-22,0.9652142823650033
2016-08-23,0.9628189363054711
2016-08-24,0.9621706595872616
2016-08-25,0.9728783358418108
2016-08-26,0.9849206953776312
2016-08-27,0.9815649026141218
2016-08-28,0.9817566575263491
2016-08-29,0.9688738219925517
2016-08-30,0.9686381149908969
2016-08-31,
2016-09-01,0.9772507078758754
2016-09-02,0.9662466750863339
2016-09-03,0.9763057501383932
2016-09-04,0.9683762432160785
2016-09-05,
2016-09-06,0.9807970564044041
2016-09-07,0.9744459165617508
2016-09-08,
2016-09-09,
2016-09-10,
2016-09-11,
2016-09-12,
2016-09-13,0.9698389000673402
2016-09-14,
2016-09-15,
2016-09-16,
2016-09-17,
2016-09-18,0.9780791480967862
2016-09-19,
2016-09-20,
2016-09-21,
2016-09-22,
2016-09-23,
2016-09-24,
2016-09-25,
2016-09-26,
2016-09-27,
2016-09-28,
