time,P
2016-01-31,503.8225195185106
2016-02-29,752.2529915156039
2016-03-31,856.0455038425412
2016-04-30,818.0904505083944
2016-05-31,939.18222886383
2016-06-30,1025.2176272151091
2016-07-31,898.8292901845385
2016-08-31,1035.074216303037
2016-09-30,869.5688755980875
2016-10-31,724.777337411743
2016-11-30,614.4118353795524
2016-12-31,438.8116252240036
2017-01-31,483.1686575172018
2017-02-28,720.9450554750129
2017-03-31,815.9249379965182
2017-04-30,779.5856898739634
2017-05-31,894.8882761741871
2017-06-30,976.5896052102446
2017-07-31,856.0505045193439
2017-08-31,985.7239302065315
2017-09-30,827.9417388873425
2017-10-31,689.9677602344627
2017-11-30,584.6662487355868
2017-12-31,416.99652123663805
2018-01-31,459.24963254380447
2018-02-28,685.8729430698205
2018-03-31,776.1208218158085
2018-04-30,741.3635744588998
2018-05-31,851.0064326626302
2018-06-30,928.497270021877
2018-07-31,813.6719786945702
2018-08-31,936.9067466925173
2018-09-30,786.6659729312921
2018-10-31,655.3459114275761
2018-11-30,554.9868662006963
2018-12-31,395.1407854815352
2019-01-31,435.3132706627238
2019-02-28,650.9328958059856
2019-03-31,736.577334152374
2019-04-30,703.3694726178014
2019-05-31,807.4705116899581
2019-06-30,880.8676331814055
2019-07-31,771.6305697079724
2019-08-31,888.5473417196943
2019-09-30,745.6782813369268
2019-10-31,620.8546233262043
2019-11-30,525.3211942848501
2019-12-31,373.20044110785346
2020-01-31,411.3111603052599
2020-02-29,611.196542875086
2020-03-31,703.0841121545166
2020-04-30,676.495815662394
2020-05-31,766.8790013585289
2020-06-30,820.6731176759342
2020-07-31,744.9152046504477
2020-08-31,836.359161435266
2020-09-30,696.7228271156868
2020-10-31,583.6631370962407
2020-11-30,495.1979546879679
2020-12-31,358.99224799492345
