time,P
2016-01-31,515.6883529631212
2016-02-29,775.1766109701805
2016-03-31,796.810765481669
2016-04-30,1057.6519867804623
2016-05-31,977.8948513682346
2016-06-30,959.4711164045372
2016-07-31,1079.4093275991
2016-08-31,1056.278396839149
2016-09-30,925.4800873870385
2016-10-31,751.1162775414766
2016-11-30,607.6511912855779
2016-12-31,646.9070349698152
2017-01-31,583.7396802497034
2017-02-28,755.850070929934
2017-03-31,1008.933722019432
2017-04-30,1041.4501965592608
2017-05-31,1019.7949266699661
2017-06-30,1106.1466609788797
2017-07-31,1017.7220437959433
2017-08-31,878.8504004312385
2017-09-30,971.5113502380253
2017-10-31,768.7129995921708
2017-11-30,674.8362891077344
2017-12-31,546.3120528076382
2018-01-31,609.7051089329099
2018-02-28,679.1890765205184
2018-03-31,871.0718550898938
2018-04-30,1119.7521931102533
2018-05-31,1030.280689903212
2018-06-30,1198.6466606360318
2018-07-31,1000.7414086150698
2018-08-31,973.4973649857232
2018-09-30,941.625550366894
2018-10-31,768.3402162164018
2018-11-30,646.3158452271796
2018-12-31,513.7502535480054
2019-01-31,553.7066939025907
2019-02-28,812.8610522073553
2019-03-31,913.1840983733505
2019-04-30,970.2627192581639
2019-05-31,1003.2748956485997
2019-06-30,771.1766890993139
2019-07-31,1000.5596539597445
2019-08-31,1093.0359653868595
2019-09-30,896.2474013031374
2019-10-31,853.416941982567
2019-11-30,698.8831955259978
2019-12-31,536.5377004766827
2020-01-31,344.52789777910147
2020-02-29,464.94632100879153
2020-03-31,586.4285095657781
2020-04-30,750.8439180649091
2020-05-31,681.8943989492906
2020-06-30,744.0063743095392
2020-07-31,763.5517218056171
2020-08-31,698.5812762922485
2020-09-30,675.2750137431537
2020-10-31,507.8548059245443
2020-11-30,445.8545335117353
2020-12-31,363.67658403790676
