time,P
2016-01-01 09:00:00,129.7344906
2016-01-01 09:15:00,208.2106002
2016-01-01 09:30:00,291.3201658
2016-01-01 09:45:00,372.9817543
2016-01-01 10:00:00,460.3563152
2016-01-01 10:15:00,542.7229511
2016-01-01 10:30:00,621.101038
2016-01-01 10:45:00,696.7459156
2016-01-01 11:00:00,743.818854
2016-01-01 11:15:00,788.8827557
2016-01-01 11:30:00,818.6220714
2016-01-01 11:45:00,830.0639484
2016-01-01 12:00:00,844.0227019
2016-01-01 12:15:00,767.2196906
2016-01-01 12:30:00,662.3814246
2016-01-01 12:45:00,619.5134715
2016-01-01 13:00:00,385.6972133
2016-01-01 13:15:00,162.1359233
2016-01-01 13:30:00,148.5005928
2016-01-01 13:45:00,280.4008687
2016-01-01 14:00:00,494.6694629
2016-01-01 14:15:00,449.4780345
2016-01-01 14:30:00,322.6959889
2016-01-01 14:45:00,238.6377174
2016-01-01 15:00:00,173.5834862
2016-01-01 15:15:00,114.862571
2016-01-02 09:00:00,97.30273404
2016-01-02 09:15:00,157.2257577
2016-01-02 09:30:00,227.0461231
2016-01-02 09:45:00,296.3649533
2016-01-02 10:00:00,366.1366056
2016-01-02 10:15:00,451.7069748
2016-01-02 10:30:00,531.3129609
2016-01-02 10:45:00,476.7471719
2016-01-02 11:00:00,402.5261072
2016-01-02 11:15:00,356.6328176
2016-01-02 11:30:00,374.649128
2016-01-02 11:45:00,597.002959
2016-01-02 12:00:00,764.7599444
2016-01-02 12:15:00,672.7272406
2016-01-02 12:30:00,590.5403952
2016-01-02 12:45:00,621.388077
2016-01-02 13:00:00,600.3510386
2016-01-02 13:15:00,386.5502042
2016-01-02 13:30:00,282.9851406
2016-01-02 13:45:00,293.07204
2016-01-02 14:00:00,286.6397298
2016-01-02 14:15:00,246.7441303
2016-01-02 14:30:00,203.5844759
2016-01-02 14:45:00,158.2164248
2016-01-02 15:00:00,115.1956413
2016-01-02 15:15:00,76.69181433
2016-01-03 09:30:00,77.27215899
2016-01-03 09:45:00,93.81332944
