time,PR
2018-04-30 00:00:00+00:00,0.7729191941333087
2018-05-31 00:00:00+00:00,0.7528472410646901
2018-06-30 00:00:00+00:00,0.7328019786578177
2018-07-31 00:00:00+00:00,0.7567121666644625
2018-08-31 00:00:00+00:00,0.7091491258001124
2018-09-30 00:00:00+00:00,
2018-10-31 00:00:00+00:00,
2018-11-30 00:00:00+00:00,
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,
2019-03-31 00:00:00+00:00,
2019-04-30 00:00:00+00:00,0.7781598873665136
2019-05-31 00:00:00+00:00,0.7343980790621607
2019-06-30 00:00:00+00:00,0.7494761250658281
2019-07-31 00:00:00+00:00,0.7278622303101306
2019-08-31 00:00:00+00:00,0.6643517296610729
2019-09-30 00:00:00+00:00,
2019-10-31 00:00:00+00:00,
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,
2020-03-31 00:00:00+00:00,
2020-04-30 00:00:00+00:00,0.769280927324626
2020-05-31 00:00:00+00:00,0.7560033469775318
2020-06-30 00:00:00+00:00,0.7519561407884422
2020-07-31 00:00:00+00:00,0.6293714810546205
2020-08-31 00:00:00+00:00,0.6587718168029146
2020-09-30 00:00:00+00:00,
2020-10-31 00:00:00+00:00,
2020-11-30 00:00:00+00:00,
2020-12-31 00:00:00+00:00,
2021-01-31 00:00:00+00:00,
2021-02-28 00:00:00+00:00,
2021-03-31 00:00:00+00:00,
2021-04-30 00:00:00+00:00,0.7805040739481168
2021-05-31 00:00:00+00:00,0.7406441067262544
2021-06-30 00:00:00+00:00,0.7366117531037683
2021-07-31 00:00:00+00:00,0.7362950190534313
2021-08-31 00:00:00+00:00,0.7071875687951228
