time,P
2018-04-30 00:00:00+00:00,166.4981120545668
2018-05-31 00:00:00+00:00,171.99555374028245
2018-06-30 00:00:00+00:00,173.7379811238407
2018-07-31 00:00:00+00:00,168.1968706442946
2018-08-31 00:00:00+00:00,164.11882813397827
2018-09-30 00:00:00+00:00,
2018-10-31 00:00:00+00:00,
2018-11-30 00:00:00+00:00,
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,
2019-03-31 00:00:00+00:00,
2019-04-30 00:00:00+00:00,168.50800373146572
2019-05-31 00:00:00+00:00,170.24841024499403
2019-06-30 00:00:00+00:00,170.70393053033087
2019-07-31 00:00:00+00:00,167.83610334688143
2019-08-31 00:00:00+00:00,150.00332330314393
2019-09-30 00:00:00+00:00,
2019-10-31 00:00:00+00:00,
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,
2020-03-31 00:00:00+00:00,
2020-04-30 00:00:00+00:00,169.453246785384
2020-05-31 00:00:00+00:00,170.70426649320336
2020-06-30 00:00:00+00:00,169.7854033853925
2020-07-31 00:00:00+00:00,164.18724674671026
2020-08-31 00:00:00+00:00,161.02990776967215
2020-09-30 00:00:00+00:00,
2020-10-31 00:00:00+00:00,
2020-11-30 00:00:00+00:00,
2020-12-31 00:00:00+00:00,
2021-01-31 00:00:00+00:00,
2021-02-28 00:00:00+00:00,
2021-03-31 00:00:00+00:00,
2021-04-30 00:00:00+00:00,164.86122381193292
2021-05-31 00:00:00+00:00,169.70504612418512
2021-06-30 00:00:00+00:00,170.3147516812448
2021-07-31 00:00:00+00:00,165.03155104810384
2021-08-31 00:00:00+00:00,160.277345644785
