time,PI
2018-03-25 00:00:00+00:00,0.7647501326155128
2018-04-01 00:00:00+00:00,0.7762735151967041
2018-04-08 00:00:00+00:00,0.7905811269481227
2018-04-15 00:00:00+00:00,0.8091825141250438
2018-04-22 00:00:00+00:00,0.8065506548490056
2018-04-29 00:00:00+00:00,0.7995011969561504
2018-05-06 00:00:00+00:00,0.7663256653953313
2018-05-13 00:00:00+00:00,0.7984916912795906
2018-05-20 00:00:00+00:00,0.7923390568331004
2018-05-27 00:00:00+00:00,0.7897677568286894
2018-06-03 00:00:00+00:00,0.7882237124356538
2018-06-10 00:00:00+00:00,0.7249629500280745
2018-06-17 00:00:00+00:00,0.781315184681366
2018-06-24 00:00:00+00:00,0.7473052319588889
2018-07-01 00:00:00+00:00,0.787999424671695
2018-07-08 00:00:00+00:00,0.8088011043847677
2018-07-15 00:00:00+00:00,0.8255540347768643
2018-07-22 00:00:00+00:00,
2018-07-29 00:00:00+00:00,0.8272133555918266
2018-08-05 00:00:00+00:00,0.8099090842748924
2018-08-12 00:00:00+00:00,0.8019787765303319
2018-08-19 00:00:00+00:00,0.7788172335048714
2018-08-26 00:00:00+00:00,0.7795958543179264
2018-09-02 00:00:00+00:00,0.7827724016562989
2018-09-09 00:00:00+00:00,0.8020827017656568
2018-09-16 00:00:00+00:00,0.758512154607632
2018-09-23 00:00:00+00:00,0.7841829804828292
2018-09-30 00:00:00+00:00,0.789503274343887
2018-10-07 00:00:00+00:00,0.7650140160304223
2018-10-14 00:00:00+00:00,0.7815776414169402
2018-10-21 00:00:00+00:00,0.7374671262186978
2018-10-28 00:00:00+00:00,0.6612699580273022
2018-11-04 00:00:00+00:00,
2018-11-11 00:00:00+00:00,
2018-11-18 00:00:00+00:00,1.6420529911068433
2018-11-25 00:00:00+00:00,0.09217985173193619
2018-12-02 00:00:00+00:00,
2018-12-09 00:00:00+00:00,
2018-12-16 00:00:00+00:00,
2018-12-23 00:00:00+00:00,
2018-12-30 00:00:00+00:00,
2019-01-06 00:00:00+00:00,
2019-01-13 00:00:00+00:00,
2019-01-20 00:00:00+00:00,
2019-01-27 00:00:00+00:00,
2019-02-03 00:00:00+00:00,
2019-02-10 00:00:00+00:00,
2019-02-17 00:00:00+00:00,
2019-02-24 00:00:00+00:00,
2019-03-03 00:00:00+00:00,
2019-03-10 00:00:00+00:00,
2019-03-17 00:00:00+00:00,
2019-03-24 00:00:00+00:00,
2019-03-31 00:00:00+00:00,
2019-04-07 00:00:00+00:00,0.7610250105488566
2019-04-14 00:00:00+00:00,0.769937758860267
2019-04-21 00:00:00+00:00,0.7868942070864687
2019-04-28 00:00:00+00:00,0.7991564260278505
2019-05-05 00:00:00+00:00,0.7588969383494626
2019-05-12 00:00:00+00:00,0.7742475296712357
2019-05-19 00:00:00+00:00,
2019-05-26 00:00:00+00:00,0.7914638789022588
2019-06-02 00:00:00+00:00,0.7363214849298998
2019-06-09 00:00:00+00:00,0.7981103148745645
2019-06-16 00:00:00+00:00,0.805398148858488
2019-06-23 00:00:00+00:00,0.786245365800709
2019-06-30 00:00:00+00:00,0.7580140483143013
2019-07-07 00:00:00+00:00,0.7216192359707598
2019-07-14 00:00:00+00:00,0.7953621031951216
2019-07-21 00:00:00+00:00,0.7485638375308835
2019-07-28 00:00:00+00:00,0.7996860458439198
2019-08-04 00:00:00+00:00,0.7448066477424072
2019-08-11 00:00:00+00:00,0.7720793438303304
2019-08-18 00:00:00+00:00,0.7259401025744867
2019-08-25 00:00:00+00:00,0.7310421729204813
2019-09-01 00:00:00+00:00,0.8057083412647412
2019-09-08 00:00:00+00:00,0.7555394935370306
2019-09-15 00:00:00+00:00,0.7318952881034119
2019-09-22 00:00:00+00:00,0.7133048467137121
2019-09-29 00:00:00+00:00,0.5238109430389846
2019-10-06 00:00:00+00:00,0.7293389604981453
2019-10-13 00:00:00+00:00,0.627863501484804
2019-10-20 00:00:00+00:00,
2019-10-27 00:00:00+00:00,
2019-11-03 00:00:00+00:00,
2019-11-10 00:00:00+00:00,
2019-11-17 00:00:00+00:00,
2019-11-24 00:00:00+00:00,
2019-12-01 00:00:00+00:00,
2019-12-08 00:00:00+00:00,
2019-12-15 00:00:00+00:00,
2019-12-22 00:00:00+00:00,
2019-12-29 00:00:00+00:00,
2020-01-05 00:00:00+00:00,
2020-01-12 00:00:00+00:00,
2020-01-19 00:00:00+00:00,
2020-01-26 00:00:00+00:00,
2020-02-02 00:00:00+00:00,
2020-02-09 00:00:00+00:00,
2020-02-16 00:00:00+00:00,
2020-02-23 00:00:00+00:00,
2020-03-01 00:00:00+00:00,0.6785632279478472
2020-03-08 00:00:00+00:00,0.5256393341712652
2020-03-15 00:00:00+00:00,
2020-03-22 00:00:00+00:00,0.7238348291006886
2020-03-29 00:00:00+00:00,0.7488504766074496
2020-04-05 00:00:00+00:00,0.7375290402367233
2020-04-12 00:00:00+00:00,0.7489642535165629
2020-04-19 00:00:00+00:00,0.7505092996453565
2020-04-26 00:00:00+00:00,0.7654178687694347
2020-05-03 00:00:00+00:00,0.7479719458569944
2020-05-10 00:00:00+00:00,0.7567650033550759
2020-05-17 00:00:00+00:00,0.7571800717734393
2020-05-24 00:00:00+00:00,0.7630883849161761
2020-05-31 00:00:00+00:00,0.7834692689616644
2020-06-07 00:00:00+00:00,0.7618194355192135
2020-06-14 00:00:00+00:00,0.7879806840822853
2020-06-21 00:00:00+00:00,0.7966335499136799
2020-06-28 00:00:00+00:00,0.7958228056599073
2020-07-05 00:00:00+00:00,0.7426789334144076
2020-07-12 00:00:00+00:00,0.6785355682431444
2020-07-19 00:00:00+00:00,0.7495215922597345
2020-07-26 00:00:00+00:00,0.7597503476278815
2020-08-02 00:00:00+00:00,0.78176652315367
2020-08-09 00:00:00+00:00,0.7594903079684406
2020-08-16 00:00:00+00:00,0.7642722554717968
2020-08-23 00:00:00+00:00,0.7622385837051878
2020-08-30 00:00:00+00:00,0.768656141862452
2020-09-06 00:00:00+00:00,0.7784422598135858
