time,P
2018-02-28 00:00:00+00:00,198.9
2018-03-01 00:00:00+00:00,
2018-03-02 00:00:00+00:00,
2018-03-03 00:00:00+00:00,
2018-03-04 00:00:00+00:00,190.0774059465241
2018-03-05 00:00:00+00:00,
2018-03-06 00:00:00+00:00,
2018-03-07 00:00:00+00:00,193.3
2018-03-08 00:00:00+00:00,
2018-03-09 00:00:00+00:00,
2018-03-10 00:00:00+00:00,
2018-03-11 00:00:00+00:00,
2018-03-12 00:00:00+00:00,212.34184680228475
2018-03-13 00:00:00+00:00,
2018-03-14 00:00:00+00:00,211.1279136419888
2018-03-15 00:00:00+00:00,209.12035636375384
2018-03-16 00:00:00+00:00,204.31843422543253
2018-03-17 00:00:00+00:00,
2018-03-18 00:00:00+00:00,186.6410093620739
2018-03-19 00:00:00+00:00,
2018-03-20 00:00:00+00:00,201.39681026171633
2018-03-21 00:00:00+00:00,
2018-03-22 00:00:00+00:00,209.283542953499
2018-03-23 00:00:00+00:00,211.904883516855
2018-03-24 00:00:00+00:00,213.6252590840586
2018-03-25 00:00:00+00:00,209.15431732809355
2018-03-26 00:00:00+00:00,215.59446683943725
2018-03-27 00:00:00+00:00,
2018-03-28 00:00:00+00:00,208.00294053992351
2018-03-29 00:00:00+00:00,221.9500139634485
2018-03-30 00:00:00+00:00,205.6851355380417
2018-03-31 00:00:00+00:00,208.91506776886064
2018-04-01 00:00:00+00:00,194.6028099558953
2018-04-02 00:00:00+00:00,206.4341918369333
2018-04-03 00:00:00+00:00,
2018-04-04 00:00:00+00:00,216.13657613970227
2018-04-05 00:00:00+00:00,
2018-04-06 00:00:00+00:00,
2018-04-07 00:00:00+00:00,219.82057235517934
2018-04-08 00:00:00+00:00,217.04527175709183
2018-04-09 00:00:00+00:00,
2018-04-10 00:00:00+00:00,215.19930400813044
2018-04-11 00:00:00+00:00,195.619518717391
2018-04-12 00:00:00+00:00,218.14504636387397
2018-04-13 00:00:00+00:00,218.46612510959716
2018-04-14 00:00:00+00:00,220.61952728471203
2018-04-15 00:00:00+00:00,212.56574382254388
2018-04-16 00:00:00+00:00,211.42601488261673
2018-04-17 00:00:00+00:00,214.10133827980246
2018-04-18 00:00:00+00:00,203.259616848678
2018-04-19 00:00:00+00:00,208.50133953777407
2018-04-20 00:00:00+00:00,
2018-04-21 00:00:00+00:00,
2018-04-22 00:00:00+00:00,
2018-04-23 00:00:00+00:00,222.90462414148632
2018-04-24 00:00:00+00:00,197.8
2018-04-25 00:00:00+00:00,
2018-04-26 00:00:00+00:00,
2018-04-27 00:00:00+00:00,202.38217752579956
2018-04-28 00:00:00+00:00,218.9199409743524
2018-04-29 00:00:00+00:00,
2018-04-30 00:00:00+00:00,
2018-05-01 00:00:00+00:00,213.19008370577293
2018-05-02 00:00:00+00:00,198.72695114746284
2018-05-03 00:00:00+00:00,243.7
2018-05-04 00:00:00+00:00,
2018-05-05 00:00:00+00:00,
2018-05-06 00:00:00+00:00,211.01004897724295
2018-05-07 00:00:00+00:00,198.9929425274204
2018-05-08 00:00:00+00:00,200.28916960860116
2018-05-09 00:00:00+00:00,195.88612604086438
2018-05-10 00:00:00+00:00,184.65151829634505
2018-05-11 00:00:00+00:00,183.09237032484933
2018-05-12 00:00:00+00:00,187.18499878224807
2018-05-13 00:00:00+00:00,176.7453122478299
2018-05-14 00:00:00+00:00,182.1386181009494
2018-05-15 00:00:00+00:00,174.88703411827981
2018-05-16 00:00:00+00:00,180.1628134091552
2018-05-17 00:00:00+00:00,
2018-05-18 00:00:00+00:00,190.31825819074845
2018-05-19 00:00:00+00:00,178.6305503952079
2018-05-20 00:00:00+00:00,183.96932318621865
2018-05-21 00:00:00+00:00,
2018-05-22 00:00:00+00:00,181.70571932911793
2018-05-23 00:00:00+00:00,186.58886104667934
2018-05-24 00:00:00+00:00,
2018-05-25 00:00:00+00:00,202.0
2018-05-26 00:00:00+00:00,191.2910292829686
2018-05-27 00:00:00+00:00,193.54039773603557
2018-05-28 00:00:00+00:00,
2018-05-29 00:00:00+00:00,
2018-05-30 00:00:00+00:00,194.9948996986046
2018-05-31 00:00:00+00:00,
2018-06-01 00:00:00+00:00,170.0747739823009
2018-06-02 00:00:00+00:00,182.68339239930498
2018-06-03 00:00:00+00:00,184.1119563010305
2018-06-04 00:00:00+00:00,
2018-06-05 00:00:00+00:00,201.6
2018-06-06 00:00:00+00:00,
2018-06-07 00:00:00+00:00,187.2351564728887
2018-06-08 00:00:00+00:00,
2018-06-09 00:00:00+00:00,
2018-06-10 00:00:00+00:00,182.45817425437204
2018-06-11 00:00:00+00:00,192.53241134692834
2018-06-12 00:00:00+00:00,200.537907544818
2018-06-13 00:00:00+00:00,183.7305466636639
2018-06-14 00:00:00+00:00,184.53689784158058
2018-06-15 00:00:00+00:00,
2018-06-16 00:00:00+00:00,179.02113069235773
2018-06-17 00:00:00+00:00,182.32559831343985
2018-06-18 00:00:00+00:00,
2018-06-19 00:00:00+00:00,189.43548737836713
2018-06-20 00:00:00+00:00,
2018-06-21 00:00:00+00:00,190.5397176849548
2018-06-22 00:00:00+00:00,
2018-06-23 00:00:00+00:00,
2018-06-24 00:00:00+00:00,190.93949214055417
2018-06-25 00:00:00+00:00,
2018-06-26 00:00:00+00:00,
2018-06-27 00:00:00+00:00,182.1642119891711
2018-06-28 00:00:00+00:00,187.22348328475965
2018-06-29 00:00:00+00:00,189.59583465038128
2018-06-30 00:00:00+00:00,
2018-07-01 00:00:00+00:00,179.23665667586684
2018-07-02 00:00:00+00:00,173.51316828005247
2018-07-03 00:00:00+00:00,178.60377077267043
2018-07-04 00:00:00+00:00,
