time,PR
2018-01-08 00:00:00+00:00,0.6524308259904059
2018-01-09 00:00:00+00:00,0.5031504546296625
2018-01-10 00:00:00+00:00,
2018-01-11 00:00:00+00:00,
2018-01-12 00:00:00+00:00,
2018-01-13 00:00:00+00:00,
2018-01-14 00:00:00+00:00,
2018-01-15 00:00:00+00:00,
2018-01-16 00:00:00+00:00,0.38753327063183796
2018-01-17 00:00:00+00:00,0.47681675593775946
2018-01-18 00:00:00+00:00,
2018-01-19 00:00:00+00:00,
2018-01-20 00:00:00+00:00,
2018-01-21 00:00:00+00:00,0.0
2018-01-22 00:00:00+00:00,
2018-01-23 00:00:00+00:00,
2018-01-24 00:00:00+00:00,
2018-01-25 00:00:00+00:00,0.4967881606003744
2018-01-26 00:00:00+00:00,
2018-01-27 00:00:00+00:00,1.0461778267306745
2018-01-28 00:00:00+00:00,0.8140921128755856
2018-01-29 00:00:00+00:00,
2018-01-30 00:00:00+00:00,
2018-01-31 00:00:00+00:00,
2018-02-01 00:00:00+00:00,
2018-02-02 00:00:00+00:00,
2018-02-03 00:00:00+00:00,0.0
2018-02-04 00:00:00+00:00,0.0
2018-02-05 00:00:00+00:00,0.0
2018-02-06 00:00:00+00:00,
2018-02-07 00:00:00+00:00,
2018-02-08 00:00:00+00:00,0.0
2018-02-09 00:00:00+00:00,0.0
2018-02-10 00:00:00+00:00,
2018-02-11 00:00:00+00:00,0.0
2018-02-12 00:00:00+00:00,
2018-02-13 00:00:00+00:00,
2018-02-14 00:00:00+00:00,
2018-02-15 00:00:00+00:00,
2018-02-16 00:00:00+00:00,
2018-02-17 00:00:00+00:00,
2018-02-18 00:00:00+00:00,0.0
2018-02-19 00:00:00+00:00,0.0
2018-02-20 00:00:00+00:00,0.0
2018-02-21 00:00:00+00:00,0.0
2018-02-22 00:00:00+00:00,
2018-02-23 00:00:00+00:00,0.0
2018-02-24 00:00:00+00:00,0.0
2018-02-25 00:00:00+00:00,0.0
2018-02-26 00:00:00+00:00,0.0
2018-02-27 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.0
2018-03-01 00:00:00+00:00,
2018-03-02 00:00:00+00:00,
2018-03-03 00:00:00+00:00,
2018-03-04 00:00:00+00:00,
2018-03-05 00:00:00+00:00,0.0
2018-03-06 00:00:00+00:00,0.0
2018-03-07 00:00:00+00:00,
2018-03-08 00:00:00+00:00,0.0
2018-03-09 00:00:00+00:00,
2018-03-10 00:00:00+00:00,
2018-03-11 00:00:00+00:00,
2018-03-12 00:00:00+00:00,0.0
2018-03-13 00:00:00+00:00,
2018-03-14 00:00:00+00:00,0.6923850784158787
2018-03-15 00:00:00+00:00,0.7602732307654426
2018-03-16 00:00:00+00:00,0.8898496023307397
2018-03-17 00:00:00+00:00,0.8874040303679658
2018-03-18 00:00:00+00:00,0.77304692528218
2018-03-19 00:00:00+00:00,
2018-03-20 00:00:00+00:00,0.9456132094258402
2018-03-21 00:00:00+00:00,0.6255577166552376
2018-03-22 00:00:00+00:00,0.986125863058274
2018-03-23 00:00:00+00:00,0.979873843714902
2018-03-24 00:00:00+00:00,0.783522809655677
2018-03-25 00:00:00+00:00,0.9962890205387506
2018-03-26 00:00:00+00:00,0.9705276607991428
2018-03-27 00:00:00+00:00,0.9084788517183778
2018-03-28 00:00:00+00:00,0.9301011174945798
2018-03-29 00:00:00+00:00,0.9485556050994851
2018-03-30 00:00:00+00:00,0.9539240074025075
2018-03-31 00:00:00+00:00,0.9294112121238776
2018-04-01 00:00:00+00:00,0.8999788749846536
2018-04-02 00:00:00+00:00,
2018-04-03 00:00:00+00:00,0.7897168829451344
2018-04-04 00:00:00+00:00,
2018-04-05 00:00:00+00:00,
2018-04-06 00:00:00+00:00,
2018-04-07 00:00:00+00:00,
2018-04-08 00:00:00+00:00,
2018-04-09 00:00:00+00:00,
2018-04-10 00:00:00+00:00,
2018-04-11 00:00:00+00:00,
2018-04-12 00:00:00+00:00,
2018-04-13 00:00:00+00:00,
2018-04-14 00:00:00+00:00,
2018-04-15 00:00:00+00:00,
2018-04-16 00:00:00+00:00,
2018-04-17 00:00:00+00:00,
2018-04-18 00:00:00+00:00,
2018-04-19 00:00:00+00:00,
2018-04-20 00:00:00+00:00,
2018-04-21 00:00:00+00:00,
2018-04-22 00:00:00+00:00,
2018-04-23 00:00:00+00:00,
2018-04-24 00:00:00+00:00,
2018-04-25 00:00:00+00:00,
2018-04-26 00:00:00+00:00,
2018-04-27 00:00:00+00:00,
2018-04-28 00:00:00+00:00,
2018-04-29 00:00:00+00:00,
2018-04-30 00:00:00+00:00,
2018-05-01 00:00:00+00:00,
2018-05-02 00:00:00+00:00,
2018-05-03 00:00:00+00:00,
2018-05-04 00:00:00+00:00,
2018-05-05 00:00:00+00:00,
2018-05-06 00:00:00+00:00,
2018-05-07 00:00:00+00:00,
2018-05-08 00:00:00+00:00,
2018-05-09 00:00:00+00:00,
2018-05-10 00:00:00+00:00,
2018-05-11 00:00:00+00:00,
2018-05-12 00:00:00+00:00,
2018-05-13 00:00:00+00:00,
2018-05-14 00:00:00+00:00,
2018-05-15 00:00:00+00:00,
2018-05-16 00:00:00+00:00,
2018-05-17 00:00:00+00:00,0.7856185300468628
2018-05-18 00:00:00+00:00,0.8673723706104394
2018-05-19 00:00:00+00:00,0.8551218023464208
2018-05-20 00:00:00+00:00,0.8651682654873526
2018-05-21 00:00:00+00:00,0.8427304304949124
2018-05-22 00:00:00+00:00,0.8166743966063866
2018-05-23 00:00:00+00:00,0.8263151609957179
2018-05-24 00:00:00+00:00,0.8332381786365338
2018-05-25 00:00:00+00:00,0.8342555899776474
2018-05-26 00:00:00+00:00,0.8273620009915227
2018-05-27 00:00:00+00:00,0.8319425589404087
2018-05-28 00:00:00+00:00,0.8203942234179951
2018-05-29 00:00:00+00:00,0.8223739531519413
2018-05-30 00:00:00+00:00,0.8119781021809747
2018-05-31 00:00:00+00:00,0.80796984455493
2018-06-01 00:00:00+00:00,0.8457506849277758
2018-06-02 00:00:00+00:00,0.8020717481216024
2018-06-03 00:00:00+00:00,0.8147074860855374
2018-06-04 00:00:00+00:00,0.8711176457526094
2018-06-05 00:00:00+00:00,0.7383404327026293
2018-06-06 00:00:00+00:00,0.8344124137753146
2018-06-07 00:00:00+00:00,0.802721013161954
2018-06-08 00:00:00+00:00,0.7484525892135255
2018-06-09 00:00:00+00:00,0.8145320149105203
2018-06-10 00:00:00+00:00,0.7627196970341281
2018-06-11 00:00:00+00:00,0.7535304564694959
2018-06-12 00:00:00+00:00,0.7979903736863543
2018-06-13 00:00:00+00:00,0.8177345497786613
2018-06-14 00:00:00+00:00,0.8843657548487701
2018-06-15 00:00:00+00:00,0.8329264922042927
2018-06-16 00:00:00+00:00,0.83709600190753
2018-06-17 00:00:00+00:00,0.7726970281124094
2018-06-18 00:00:00+00:00,0.8074594753581074
2018-06-19 00:00:00+00:00,0.7946191400851541
2018-06-20 00:00:00+00:00,0.8255926131251634
2018-06-21 00:00:00+00:00,0.5795382257309282
2018-06-22 00:00:00+00:00,0.5512814820164118
2018-06-23 00:00:00+00:00,0.806811903092516
2018-06-24 00:00:00+00:00,0.8531192028737115
2018-06-25 00:00:00+00:00,0.7840502257651618
2018-06-26 00:00:00+00:00,0.8389811393706929
2018-06-27 00:00:00+00:00,0.8229307393511551
2018-06-28 00:00:00+00:00,0.8392467434990071
2018-06-29 00:00:00+00:00,0.6921055641922919
2018-06-30 00:00:00+00:00,0.7934722567318507
2018-07-01 00:00:00+00:00,0.8261151230967436
2018-07-02 00:00:00+00:00,0.24052832081545245
2018-07-03 00:00:00+00:00,0.0
2018-07-04 00:00:00+00:00,0.7564374881427989
2018-07-05 00:00:00+00:00,0.8286230242257849
2018-07-06 00:00:00+00:00,0.71339836645741
2018-07-07 00:00:00+00:00,0.8029943413614135
2018-07-08 00:00:00+00:00,0.7918415920747995
2018-07-09 00:00:00+00:00,0.8073991183269069
2018-07-10 00:00:00+00:00,0.7901149874496101
2018-07-11 00:00:00+00:00,0.6810355902899287
2018-07-12 00:00:00+00:00,0.6664152743355739
2018-07-13 00:00:00+00:00,0.7642388093842665
2018-07-14 00:00:00+00:00,0.801182743027442
2018-07-15 00:00:00+00:00,0.7951370355380049
2018-07-16 00:00:00+00:00,0.7931947225097908
2018-07-17 00:00:00+00:00,0.7946708849915088
2018-07-18 00:00:00+00:00,0.7721374100242283
2018-07-19 00:00:00+00:00,0.7780393767557244
2018-07-20 00:00:00+00:00,1.0809162234323728
2018-07-21 00:00:00+00:00,0.8284364752114106
2018-07-22 00:00:00+00:00,0.8438069874088299
2018-07-23 00:00:00+00:00,0.7940417701975849
2018-07-24 00:00:00+00:00,0.807806933239478
2018-07-25 00:00:00+00:00,0.816063195916826
2018-07-26 00:00:00+00:00,0.8107893267091677
2018-07-27 00:00:00+00:00,0.7788298103470219
2018-07-28 00:00:00+00:00,0.789350016163192
2018-07-29 00:00:00+00:00,0.7041661269747932
2018-07-30 00:00:00+00:00,0.8037468939547546
2018-07-31 00:00:00+00:00,0.8220562008227018
2018-08-01 00:00:00+00:00,0.8257886847323951
2018-08-02 00:00:00+00:00,0.8280563567739452
2018-08-03 00:00:00+00:00,0.8277005056455918
2018-08-04 00:00:00+00:00,0.8272898566840308
2018-08-05 00:00:00+00:00,0.8088406736528375
2018-08-06 00:00:00+00:00,0.8086841147038037
2018-08-07 00:00:00+00:00,0.8249593827803013
2018-08-08 00:00:00+00:00,0.8307498151490059
2018-08-09 00:00:00+00:00,0.8416514444984391
2018-08-10 00:00:00+00:00,0.7945584353143383
2018-08-11 00:00:00+00:00,0.856360931551201
2018-08-12 00:00:00+00:00,0.7875662909378386
2018-08-13 00:00:00+00:00,0.8126294730713051
2018-08-14 00:00:00+00:00,0.7943549676787597
2018-08-15 00:00:00+00:00,0.8054898015045643
2018-08-16 00:00:00+00:00,0.8315744627414797
2018-08-17 00:00:00+00:00,0.8641432865413994
2018-08-18 00:00:00+00:00,0.8784869484664684
2018-08-19 00:00:00+00:00,0.8375561379602408
2018-08-20 00:00:00+00:00,0.7845429641069668
2018-08-21 00:00:00+00:00,0.7888406463450366
2018-08-22 00:00:00+00:00,0.8503125567030652
2018-08-23 00:00:00+00:00,0.683768177655675
2018-08-24 00:00:00+00:00,0.8072988133917436
2018-08-25 00:00:00+00:00,0.7858245577145028
2018-08-26 00:00:00+00:00,0.8816337597441031
2018-08-27 00:00:00+00:00,0.8116193817747317
2018-08-28 00:00:00+00:00,0.8321196771123548
2018-08-29 00:00:00+00:00,0.8479812305569082
2018-08-30 00:00:00+00:00,0.8303024021594095
2018-08-31 00:00:00+00:00,0.8320298397726286
2018-09-01 00:00:00+00:00,0.9110941871925681
2018-09-02 00:00:00+00:00,0.8504376068351308
2018-09-03 00:00:00+00:00,0.841192558883314
2018-09-04 00:00:00+00:00,0.8512317565422494
2018-09-05 00:00:00+00:00,0.9013154350654089
2018-09-06 00:00:00+00:00,0.8326390737106509
2018-09-07 00:00:00+00:00,0.8643345837319458
2018-09-08 00:00:00+00:00,0.8767928241196239
2018-09-09 00:00:00+00:00,0.772110433592471
2018-09-10 00:00:00+00:00,0.854773184483233
2018-09-11 00:00:00+00:00,
2018-09-12 00:00:00+00:00,0.8137669578100887
2018-09-13 00:00:00+00:00,0.8743634287765195
2018-09-14 00:00:00+00:00,0.7982791252848032
2018-09-15 00:00:00+00:00,0.6143210521875622
2018-09-16 00:00:00+00:00,0.9046585924200209
2018-09-17 00:00:00+00:00,0.6832245625144032
2018-09-18 00:00:00+00:00,0.4775283366856522
2018-09-19 00:00:00+00:00,0.8699434399952003
2018-09-20 00:00:00+00:00,0.8498780641779948
2018-09-21 00:00:00+00:00,0.8159677980259643
2018-09-22 00:00:00+00:00,0.8137505609643158
