time,P
2018-03-31 00:00:00+00:00,2673.739875437214
2018-04-30 00:00:00+00:00,1663.0474019783207
2018-05-31 00:00:00+00:00,2994.9374057321297
2018-06-30 00:00:00+00:00,2936.2589832140093
2018-07-31 00:00:00+00:00,2860.6490508860384
2018-08-31 00:00:00+00:00,2747.8673068671674
2018-09-30 00:00:00+00:00,2491.5488275305365
2018-10-31 00:00:00+00:00,2174.2182124853143
2018-11-30 00:00:00+00:00,
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,2216.6524033986643
2019-03-31 00:00:00+00:00,2600.847430588567
2019-04-30 00:00:00+00:00,2765.6522628161674
2019-05-31 00:00:00+00:00,3003.731277295754
2019-06-30 00:00:00+00:00,2946.4550071855842
2019-07-31 00:00:00+00:00,2813.352118354773
2019-08-31 00:00:00+00:00,2703.521927711064
2019-09-30 00:00:00+00:00,2434.102516360912
2019-10-31 00:00:00+00:00,2191.412133466506
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,2072.450928906428
2020-03-31 00:00:00+00:00,2378.7464363100407
2020-04-30 00:00:00+00:00,2672.912508765163
2020-05-31 00:00:00+00:00,2940.6354602051233
2020-06-30 00:00:00+00:00,2858.5661908701877
2020-07-31 00:00:00+00:00,2698.036181290256
2020-08-31 00:00:00+00:00,2620.7713830392668
2020-09-30 00:00:00+00:00,2486.2081714971714
