time,PI
2018-03-18 00:00:00+00:00,0.7704979586436772
2018-03-25 00:00:00+00:00,0.9006384430292232
2018-04-01 00:00:00+00:00,0.8970265046140338
2018-04-08 00:00:00+00:00,0.4871790643530824
2018-04-15 00:00:00+00:00,
2018-04-22 00:00:00+00:00,
2018-04-29 00:00:00+00:00,
2018-05-06 00:00:00+00:00,
2018-05-13 00:00:00+00:00,
2018-05-20 00:00:00+00:00,0.9230095054273308
2018-05-27 00:00:00+00:00,0.9177177766418363
2018-06-03 00:00:00+00:00,0.9148872395066386
2018-06-10 00:00:00+00:00,0.8450013511221047
2018-06-17 00:00:00+00:00,0.8863277683549468
2018-06-24 00:00:00+00:00,0.8900399175563467
2018-07-01 00:00:00+00:00,0.8890865075675694
2018-07-08 00:00:00+00:00,0.8713789356753423
2018-07-15 00:00:00+00:00,0.898584830755836
2018-07-22 00:00:00+00:00,0.8862868525261117
2018-07-29 00:00:00+00:00,0.896611083788282
2018-08-05 00:00:00+00:00,0.9042390354007755
2018-08-12 00:00:00+00:00,0.8893944084953838
2018-08-19 00:00:00+00:00,0.8767281757526386
2018-08-26 00:00:00+00:00,0.8414554344686531
2018-09-02 00:00:00+00:00,0.8815163182621001
2018-09-09 00:00:00+00:00,0.8522390424982489
2018-09-16 00:00:00+00:00,0.8744137998273747
2018-09-23 00:00:00+00:00,0.8093410481101206
2018-09-30 00:00:00+00:00,0.8934931266214081
2018-10-07 00:00:00+00:00,0.8720998110540841
2018-10-14 00:00:00+00:00,0.9891780078444143
2018-10-21 00:00:00+00:00,0.6127636256862992
2018-10-28 00:00:00+00:00,0.8222464058912606
2018-11-04 00:00:00+00:00,
2018-11-11 00:00:00+00:00,
2018-11-18 00:00:00+00:00,
2018-11-25 00:00:00+00:00,
2018-12-02 00:00:00+00:00,
2018-12-09 00:00:00+00:00,
2018-12-16 00:00:00+00:00,
2018-12-23 00:00:00+00:00,
2018-12-30 00:00:00+00:00,
2019-01-06 00:00:00+00:00,
2019-01-13 00:00:00+00:00,
2019-01-20 00:00:00+00:00,
2019-01-27 00:00:00+00:00,
2019-02-03 00:00:00+00:00,
2019-02-10 00:00:00+00:00,
2019-02-17 00:00:00+00:00,0.8889200123592582
2019-02-24 00:00:00+00:00,0.9056730469945269
2019-03-03 00:00:00+00:00,0.9089588346276979
2019-03-10 00:00:00+00:00,0.8858015456516066
2019-03-17 00:00:00+00:00,0.25745168888556064
2019-03-24 00:00:00+00:00,0.9243861905479976
2019-03-31 00:00:00+00:00,0.8603822006098805
2019-04-07 00:00:00+00:00,0.9005368995539946
2019-04-14 00:00:00+00:00,0.895882414460069
2019-04-21 00:00:00+00:00,0.9003293288347584
2019-04-28 00:00:00+00:00,0.8840832702543258
2019-05-05 00:00:00+00:00,0.8605135462401802
2019-05-12 00:00:00+00:00,0.8550038377944233
2019-05-19 00:00:00+00:00,0.8942628311807351
2019-05-26 00:00:00+00:00,0.886429437106507
2019-06-02 00:00:00+00:00,0.8859079388414972
2019-06-09 00:00:00+00:00,0.8922499064798359
2019-06-16 00:00:00+00:00,0.8843867765753729
2019-06-23 00:00:00+00:00,0.8791644656898017
2019-06-30 00:00:00+00:00,0.8899602450269151
2019-07-07 00:00:00+00:00,0.8681052064819101
2019-07-14 00:00:00+00:00,0.8421654645001168
2019-07-21 00:00:00+00:00,0.8767121405673047
2019-07-28 00:00:00+00:00,0.8746254973506863
2019-08-04 00:00:00+00:00,0.8519825363226516
2019-08-11 00:00:00+00:00,0.8535676678163155
2019-08-18 00:00:00+00:00,0.8112634485280695
2019-08-25 00:00:00+00:00,0.8453441960111654
2019-09-01 00:00:00+00:00,0.8871367580905625
2019-09-08 00:00:00+00:00,0.8018500378958634
2019-09-15 00:00:00+00:00,0.8570613657185259
2019-09-22 00:00:00+00:00,0.8433093656649954
2019-09-29 00:00:00+00:00,0.8897040981948554
2019-10-06 00:00:00+00:00,0.8843689401751355
2019-10-13 00:00:00+00:00,0.8642671149559159
2019-10-20 00:00:00+00:00,0.6646289758210786
2019-10-27 00:00:00+00:00,0.9030638988917433
2019-11-03 00:00:00+00:00,
2019-11-10 00:00:00+00:00,
2019-11-17 00:00:00+00:00,
2019-11-24 00:00:00+00:00,
2019-12-01 00:00:00+00:00,
2019-12-08 00:00:00+00:00,
2019-12-15 00:00:00+00:00,
2019-12-22 00:00:00+00:00,
2019-12-29 00:00:00+00:00,
2020-01-05 00:00:00+00:00,
2020-01-12 00:00:00+00:00,
2020-01-19 00:00:00+00:00,
2020-01-26 00:00:00+00:00,
2020-02-02 00:00:00+00:00,
2020-02-09 00:00:00+00:00,
2020-02-16 00:00:00+00:00,
2020-02-23 00:00:00+00:00,0.7357711537258972
2020-03-01 00:00:00+00:00,0.8219066627069137
2020-03-08 00:00:00+00:00,0.8721850980222212
2020-03-15 00:00:00+00:00,0.6756017058951767
2020-03-22 00:00:00+00:00,0.8577993836048113
2020-03-29 00:00:00+00:00,0.8522782981839373
2020-04-05 00:00:00+00:00,0.7856441049121515
2020-04-12 00:00:00+00:00,0.8455734998513775
2020-04-19 00:00:00+00:00,0.804359337524067
2020-04-26 00:00:00+00:00,0.8423939921069103
2020-05-03 00:00:00+00:00,0.8262409974477762
2020-05-10 00:00:00+00:00,0.8412643076760575
2020-05-17 00:00:00+00:00,0.83437451027973
2020-05-24 00:00:00+00:00,0.8479615246636536
2020-05-31 00:00:00+00:00,0.855803935990328
2020-06-07 00:00:00+00:00,0.8407713494321505
2020-06-14 00:00:00+00:00,0.8581431899081392
2020-06-21 00:00:00+00:00,0.8482518319829823
2020-06-28 00:00:00+00:00,0.8629745240356368
2020-07-05 00:00:00+00:00,0.7720417027553274
2020-07-12 00:00:00+00:00,0.7617639380034551
2020-07-19 00:00:00+00:00,0.8525624307653065
2020-07-26 00:00:00+00:00,0.8266166503074792
2020-08-02 00:00:00+00:00,0.8360309882482879
2020-08-09 00:00:00+00:00,0.844992258281793
2020-08-16 00:00:00+00:00,0.8421225377037648
2020-08-23 00:00:00+00:00,0.8323306207350875
2020-08-30 00:00:00+00:00,0.8150984093774457
2020-09-06 00:00:00+00:00,0.8249694584326643
2020-09-13 00:00:00+00:00,0.8257144686513159
2020-09-20 00:00:00+00:00,0.8394776202081452
