time,PR
2018-03-18 00:00:00+00:00,0.8325486377815061
2018-03-25 00:00:00+00:00,0.9494146330891932
2018-04-01 00:00:00+00:00,0.9327334547086557
2018-04-08 00:00:00+00:00,0.7897168829451344
2018-04-15 00:00:00+00:00,
2018-04-22 00:00:00+00:00,
2018-04-29 00:00:00+00:00,
2018-05-06 00:00:00+00:00,
2018-05-13 00:00:00+00:00,
2018-05-20 00:00:00+00:00,0.8778582789057238
2018-05-27 00:00:00+00:00,0.8523436532761787
2018-06-03 00:00:00+00:00,0.8595175181810712
2018-06-10 00:00:00+00:00,0.8524310270936958
2018-06-17 00:00:00+00:00,0.8589191846268154
2018-06-24 00:00:00+00:00,0.8528551201014731
2018-07-01 00:00:00+00:00,0.8556004992203594
2018-07-08 00:00:00+00:00,0.8416117124231662
2018-07-15 00:00:00+00:00,0.8262588879223418
2018-07-22 00:00:00+00:00,0.8239932036796849
2018-07-29 00:00:00+00:00,0.8251851467438269
2018-08-05 00:00:00+00:00,0.8311803339030753
2018-08-12 00:00:00+00:00,0.8517980095295413
2018-08-19 00:00:00+00:00,0.8500604012896094
2018-08-26 00:00:00+00:00,0.834952605880124
2018-09-02 00:00:00+00:00,0.842443134550431
2018-09-09 00:00:00+00:00,0.8421486081884615
2018-09-16 00:00:00+00:00,0.8634237954845736
2018-09-23 00:00:00+00:00,0.8439333354089125
2018-09-30 00:00:00+00:00,0.9073289256912631
2018-10-07 00:00:00+00:00,0.9252664774158115
2018-10-14 00:00:00+00:00,0.9712674628632662
2018-10-21 00:00:00+00:00,0.7249197257926392
2018-10-28 00:00:00+00:00,0.8944060465936251
2018-11-04 00:00:00+00:00,
2018-11-11 00:00:00+00:00,
2018-11-18 00:00:00+00:00,
2018-11-25 00:00:00+00:00,
2018-12-02 00:00:00+00:00,
2018-12-09 00:00:00+00:00,
2018-12-16 00:00:00+00:00,
2018-12-23 00:00:00+00:00,
2018-12-30 00:00:00+00:00,
2019-01-06 00:00:00+00:00,
2019-01-13 00:00:00+00:00,
2019-01-20 00:00:00+00:00,
2019-01-27 00:00:00+00:00,
2019-02-03 00:00:00+00:00,
2019-02-10 00:00:00+00:00,
2019-02-17 00:00:00+00:00,0.8980809786605205
2019-02-24 00:00:00+00:00,0.9496822775662386
2019-03-03 00:00:00+00:00,0.943571602029122
2019-03-10 00:00:00+00:00,0.9619063927199378
2019-03-17 00:00:00+00:00,
2019-03-24 00:00:00+00:00,0.9453062932497025
2019-03-31 00:00:00+00:00,0.9191070073874584
2019-04-07 00:00:00+00:00,0.9022577406956278
2019-04-14 00:00:00+00:00,0.9130280093235771
2019-04-21 00:00:00+00:00,0.8742763422153421
2019-04-28 00:00:00+00:00,0.8597941996206601
2019-05-05 00:00:00+00:00,0.8585596214521513
2019-05-12 00:00:00+00:00,0.8616402098386309
2019-05-19 00:00:00+00:00,0.8463793156259597
2019-05-26 00:00:00+00:00,0.8140211408690204
2019-06-02 00:00:00+00:00,0.864002504993272
