time,P
2018-03-18 00:00:00+00:00,2417.404490040689
2018-03-25 00:00:00+00:00,2778.8863832049287
2018-04-01 00:00:00+00:00,2912.283497804438
2018-04-08 00:00:00+00:00,2774.26985717162
2018-04-15 00:00:00+00:00,
2018-04-22 00:00:00+00:00,
2018-04-29 00:00:00+00:00,
2018-05-06 00:00:00+00:00,
2018-05-13 00:00:00+00:00,
2018-05-20 00:00:00+00:00,3110.9664188253137
2018-05-27 00:00:00+00:00,3024.7210695905083
2018-06-03 00:00:00+00:00,2926.763924419686
2018-06-10 00:00:00+00:00,2964.5767032159974
2018-06-17 00:00:00+00:00,2879.8574654806926
2018-06-24 00:00:00+00:00,3075.7341100480885
2018-07-01 00:00:00+00:00,3075.9716040105964
2018-07-08 00:00:00+00:00,3002.491229677194
2018-07-15 00:00:00+00:00,2861.1874367701944
2018-07-22 00:00:00+00:00,2983.029968463833
2018-07-29 00:00:00+00:00,2846.917721189107
2018-08-05 00:00:00+00:00,2789.378928002585
2018-08-12 00:00:00+00:00,2936.542638243952
2018-08-19 00:00:00+00:00,2855.308809046143
2018-08-26 00:00:00+00:00,2741.0478295863436
2018-09-02 00:00:00+00:00,2627.652594597131
2018-09-09 00:00:00+00:00,2601.5104906460797
2018-09-16 00:00:00+00:00,2658.4077010556985
2018-09-23 00:00:00+00:00,2537.6423420342644
2018-09-30 00:00:00+00:00,2600.056270659947
2018-10-07 00:00:00+00:00,2396.51414509715
2018-10-14 00:00:00+00:00,2320.5570063660875
2018-10-21 00:00:00+00:00,1883.157850424439
2018-10-28 00:00:00+00:00,2172.505660855831
2018-11-04 00:00:00+00:00,
2018-11-11 00:00:00+00:00,
2018-11-18 00:00:00+00:00,
2018-11-25 00:00:00+00:00,
2018-12-02 00:00:00+00:00,
2018-12-09 00:00:00+00:00,
2018-12-16 00:00:00+00:00,
2018-12-23 00:00:00+00:00,
2018-12-30 00:00:00+00:00,
2019-01-06 00:00:00+00:00,
2019-01-13 00:00:00+00:00,
2019-01-20 00:00:00+00:00,
2019-01-27 00:00:00+00:00,
2019-02-03 00:00:00+00:00,
2019-02-10 00:00:00+00:00,
2019-02-17 00:00:00+00:00,2111.662550346825
2019-02-24 00:00:00+00:00,2248.189597042365
2019-03-03 00:00:00+00:00,2362.1513390407176
2019-03-10 00:00:00+00:00,2592.934937011719
2019-03-17 00:00:00+00:00,
2019-03-24 00:00:00+00:00,2794.0209908926895
2019-03-31 00:00:00+00:00,2762.289187013741
2019-04-07 00:00:00+00:00,2819.503931182599
2019-04-14 00:00:00+00:00,2848.644382553078
2019-04-21 00:00:00+00:00,2785.794628523883
2019-04-28 00:00:00+00:00,2704.484225587003
2019-05-05 00:00:00+00:00,2952.716108435885
2019-05-12 00:00:00+00:00,3041.7018067211584
2019-05-19 00:00:00+00:00,2963.8349814269773
2019-05-26 00:00:00+00:00,2815.418639072571
2019-06-02 00:00:00+00:00,3184.778503618956
2019-06-09 00:00:00+00:00,2945.9954882645848
2019-06-16 00:00:00+00:00,2988.0950043192806
2019-06-23 00:00:00+00:00,2884.725531047016
2019-06-30 00:00:00+00:00,3023.287503215056
2019-07-07 00:00:00+00:00,2935.6043415738613
2019-07-14 00:00:00+00:00,2933.256167636279
2019-07-21 00:00:00+00:00,2903.3956376133306
2019-07-28 00:00:00+00:00,2824.7198335454636
2019-08-04 00:00:00+00:00,2933.483997946466
2019-08-11 00:00:00+00:00,2828.153699215639
2019-08-18 00:00:00+00:00,2826.5213139975813
2019-08-25 00:00:00+00:00,2769.753836735886
2019-09-01 00:00:00+00:00,2537.5024958560602
2019-09-08 00:00:00+00:00,2634.784324476405
2019-09-15 00:00:00+00:00,2504.2944388027927
2019-09-22 00:00:00+00:00,2562.165452860038
2019-09-29 00:00:00+00:00,2449.1647899072277
2019-10-06 00:00:00+00:00,2208.729871177776
2019-10-13 00:00:00+00:00,2239.35325022226
2019-10-20 00:00:00+00:00,1902.5495758561192
2019-10-27 00:00:00+00:00,1772.349924987543
2019-11-03 00:00:00+00:00,1949.728
2019-11-10 00:00:00+00:00,
2019-11-17 00:00:00+00:00,
2019-11-24 00:00:00+00:00,
2019-12-01 00:00:00+00:00,
2019-12-08 00:00:00+00:00,
2019-12-15 00:00:00+00:00,
2019-12-22 00:00:00+00:00,
2019-12-29 00:00:00+00:00,
2020-01-05 00:00:00+00:00,
2020-01-12 00:00:00+00:00,
2020-01-19 00:00:00+00:00,
2020-01-26 00:00:00+00:00,
2020-02-02 00:00:00+00:00,
2020-02-09 00:00:00+00:00,
2020-02-16 00:00:00+00:00,
2020-02-23 00:00:00+00:00,2005.206672217461
2020-03-01 00:00:00+00:00,2189.7698269273533
2020-03-08 00:00:00+00:00,2301.9272857172728
2020-03-15 00:00:00+00:00,2486.08476890897
2020-03-22 00:00:00+00:00,2623.9474329606205
2020-03-29 00:00:00+00:00,2578.5618658996327
2020-04-05 00:00:00+00:00,2816.591841269526
2020-04-12 00:00:00+00:00,2739.375375815934
2020-04-19 00:00:00+00:00,2739.0284422545965
2020-04-26 00:00:00+00:00,2772.9641007498067
2020-05-03 00:00:00+00:00,2956.2538380298015
2020-05-10 00:00:00+00:00,2921.7361919141417
2020-05-17 00:00:00+00:00,3075.527865549496
2020-05-24 00:00:00+00:00,3032.2675688222075
2020-05-31 00:00:00+00:00,2963.7263616015416
2020-06-07 00:00:00+00:00,2891.2160193341624
2020-06-14 00:00:00+00:00,2955.3958378770067
2020-06-21 00:00:00+00:00,2836.9508095864
2020-06-28 00:00:00+00:00,2869.7763016608624
2020-07-05 00:00:00+00:00,2730.0951380456577
2020-07-12 00:00:00+00:00,2732.661193129381
2020-07-19 00:00:00+00:00,2776.4953205082993
2020-07-26 00:00:00+00:00,2814.5435146353625
2020-08-02 00:00:00+00:00,2734.668317255591
2020-08-09 00:00:00+00:00,2754.756498338455
2020-08-16 00:00:00+00:00,2692.895122888498
2020-08-23 00:00:00+00:00,2644.6325866840325
2020-08-30 00:00:00+00:00,2769.8134867828753
2020-09-06 00:00:00+00:00,2596.1359242548697
2020-09-13 00:00:00+00:00,2640.916704956086
2020-09-20 00:00:00+00:00,2442.1719633556118
