time,PI
2018-05-20 00:00:00+00:00,0.9256534044657779
2018-05-27 00:00:00+00:00,0.9144623803583898
2018-06-03 00:00:00+00:00,0.9098870677593507
2018-06-10 00:00:00+00:00,0.8671267212313603
2018-06-17 00:00:00+00:00,0.8922892566901184
2018-06-24 00:00:00+00:00,0.8869991818503515
2018-07-01 00:00:00+00:00,0.8978049036346716
2018-07-08 00:00:00+00:00,0.877369697368004
2018-07-15 00:00:00+00:00,0.9063672546078901
2018-07-22 00:00:00+00:00,0.9058501821361058
2018-07-29 00:00:00+00:00,0.9013479618535241
2018-08-05 00:00:00+00:00,0.8948226771225298
2018-08-12 00:00:00+00:00,0.8979064275714318
2018-08-19 00:00:00+00:00,0.8812281836273702
2018-08-26 00:00:00+00:00,0.8709859180189999
2018-09-02 00:00:00+00:00,0.8843784349997044
2018-09-09 00:00:00+00:00,0.9180041416094747
2018-09-16 00:00:00+00:00,0.8471962902772515
2018-09-23 00:00:00+00:00,
2018-09-30 00:00:00+00:00,
2018-10-07 00:00:00+00:00,
2018-10-14 00:00:00+00:00,
2018-10-21 00:00:00+00:00,
2018-10-28 00:00:00+00:00,
2018-11-04 00:00:00+00:00,
2018-11-11 00:00:00+00:00,
2018-11-18 00:00:00+00:00,
2018-11-25 00:00:00+00:00,
2018-12-02 00:00:00+00:00,
2018-12-09 00:00:00+00:00,
2018-12-16 00:00:00+00:00,
2018-12-23 00:00:00+00:00,
2018-12-30 00:00:00+00:00,
2019-01-06 00:00:00+00:00,
2019-01-13 00:00:00+00:00,
2019-01-20 00:00:00+00:00,
2019-01-27 00:00:00+00:00,
2019-02-03 00:00:00+00:00,
2019-02-10 00:00:00+00:00,
2019-02-17 00:00:00+00:00,
2019-02-24 00:00:00+00:00,
2019-03-03 00:00:00+00:00,
2019-03-10 00:00:00+00:00,
2019-03-17 00:00:00+00:00,
2019-03-24 00:00:00+00:00,
2019-03-31 00:00:00+00:00,
2019-04-07 00:00:00+00:00,
2019-04-14 00:00:00+00:00,0.9108059929608011
2019-04-21 00:00:00+00:00,0.9009415555321836
2019-04-28 00:00:00+00:00,0.885258837418318
2019-05-05 00:00:00+00:00,0.8887568979516093
2019-05-12 00:00:00+00:00,0.8611023885241865
2019-05-19 00:00:00+00:00,0.8945050468958882
2019-05-26 00:00:00+00:00,0.8784765288857291
2019-06-02 00:00:00+00:00,0.8840477144684528
2019-06-09 00:00:00+00:00,0.8933805005596288
2019-06-16 00:00:00+00:00,0.8841618967237203
2019-06-23 00:00:00+00:00,0.8794903877182532
2019-06-30 00:00:00+00:00,0.8842818836285448
2019-07-07 00:00:00+00:00,0.8753353976085159
2019-07-14 00:00:00+00:00,0.8738562465615918
2019-07-21 00:00:00+00:00,0.8867385852615027
2019-07-28 00:00:00+00:00,0.8807667489017773
2019-08-04 00:00:00+00:00,0.8735799838216397
2019-08-11 00:00:00+00:00,0.8694977779974001
2019-08-18 00:00:00+00:00,0.8410863275384133
2019-08-25 00:00:00+00:00,0.844517616405903
2019-09-01 00:00:00+00:00,0.8319280985589304
2019-09-08 00:00:00+00:00,0.8642495010159249
2019-09-15 00:00:00+00:00,0.929346476709129
2019-09-22 00:00:00+00:00,
2019-09-29 00:00:00+00:00,
2019-10-06 00:00:00+00:00,
2019-10-13 00:00:00+00:00,
2019-10-20 00:00:00+00:00,
2019-10-27 00:00:00+00:00,
2019-11-03 00:00:00+00:00,
2019-11-10 00:00:00+00:00,
2019-11-17 00:00:00+00:00,
2019-11-24 00:00:00+00:00,
2019-12-01 00:00:00+00:00,
2019-12-08 00:00:00+00:00,
2019-12-15 00:00:00+00:00,
2019-12-22 00:00:00+00:00,
2019-12-29 00:00:00+00:00,
2020-01-05 00:00:00+00:00,
2020-01-12 00:00:00+00:00,
2020-01-19 00:00:00+00:00,
2020-01-26 00:00:00+00:00,
2020-02-02 00:00:00+00:00,
2020-02-09 00:00:00+00:00,
2020-02-16 00:00:00+00:00,
2020-02-23 00:00:00+00:00,
2020-03-01 00:00:00+00:00,
2020-03-08 00:00:00+00:00,
2020-03-15 00:00:00+00:00,
2020-03-22 00:00:00+00:00,
2020-03-29 00:00:00+00:00,0.887638679253605
2020-04-05 00:00:00+00:00,0.8331251704555832
2020-04-12 00:00:00+00:00,0.8314241820400036
2020-04-19 00:00:00+00:00,0.8050306085336979
2020-04-26 00:00:00+00:00,0.8525156099880267
2020-05-03 00:00:00+00:00,0.8473728924115426
2020-05-10 00:00:00+00:00,0.8578431939392519
2020-05-17 00:00:00+00:00,0.8374311125083473
2020-05-24 00:00:00+00:00,0.8580707646804927
2020-05-31 00:00:00+00:00,0.860297222194633
2020-06-07 00:00:00+00:00,0.8493909830624073
2020-06-14 00:00:00+00:00,0.8627341717900632
2020-06-21 00:00:00+00:00,0.8531775020948087
2020-06-28 00:00:00+00:00,0.8593068101886743
2020-07-05 00:00:00+00:00,0.818469777295075
2020-07-12 00:00:00+00:00,0.8014602634297011
2020-07-19 00:00:00+00:00,0.8544180979381636
2020-07-26 00:00:00+00:00,0.8448085900406318
2020-08-02 00:00:00+00:00,0.8427039861263862
2020-08-09 00:00:00+00:00,0.8457658322105981
2020-08-16 00:00:00+00:00,0.8417313057057297
2020-08-23 00:00:00+00:00,0.8531504526722151
2020-08-30 00:00:00+00:00,0.852677465941179
2020-09-06 00:00:00+00:00,0.8241640510755321
2020-09-13 00:00:00+00:00,0.8693227476681119
